catalogue_id,prev_num,current_num,title,excerpt
documents/BO0624_4513,1909,360,<!-- image -->,"360

<!-- image -->

<!-- image -->

<!-- image -->

## PREMIÈRE VENTE

Mercredi 14 Avril à 3 heures précises de l'après midi

## Terres cuites de fouilles."
documents/BO0624_4513,360,1,MASQUE comique en terre. cuite.,"1. MASQUE comique en terre. cuite.

Haut. 0.12."
documents/BO0624_4513,8,1,X10.76208,1X10.76208
documents/BO0624_4513,1,42,"DEUX STATUETTES D'ANGES debout, drapés de long, portant un vase. . Socle carré. Les têtes sont peintes au naturel, les robes à fleurs dorées. Travail vénitien en bois polychrome et doré du XVe siecle. Pièces très rares.","42. DEUX STATUETTES D'ANGES debout, drapés de long, portant un vase. . Socle carré. Les têtes sont peintes au naturel, les robes à fleurs dorées. Travail vénitien en bois polychrome et doré du XVe siecle. Pièces très rares.

Haut. 0.70.

Voir illustration, planche XLVII."
documents/BO0624_4513,55,50,QUATRE ORNEMENTS lormes par unG base rectangulaire surmontée dun fleu ron a plusieurs pétales en feuille d'or offrant au milieu un petit oiseau,"50. QUATRE ORNEMENTS lormes par unG base rectangulaire surmontée dun fleu ron a plusieurs pétales en feuille d'or offrant au milieu un petit oiseau

Long. mm. 35

Voir illustration, page 9.

PLUSIEURS FRAGMENTS du meme type. art grec."
documents/BO0624_4513,50,57,"DEUX bullae, offrant d'un coté 1 Archange Michel debout. tenant la crosse de la main droite et la croix de la main gauche; et de l'autre cote un chaton rond et quatre autres a losange, entoures d un rang de petites oreillettes. Le bord de core dune branche au repousse. Art by zantin. Ires rares","57. DEUX bullae, offrant d'un coté 1 Archange Michel debout. tenant la crosse de la main droite et la croix de la main gauche; et de l'autre cote un chaton rond et quatre autres a losange, entoures d un rang de petites oreillettes. Le bord de core dune branche au repousse. Art by zantin. Ires rares

Diam. mm. 20

Voir illustration, page 59"
documents/BO0624_4513,64,6,=. La MADONE et SIE MARIE MADELEINE pleurant au pied de la Croix. Fragment de tableau. Av siecle.,"- 6=. La MADONE et SIE MARIE MADELEINE pleurant au pied de la Croix. Fragment de tableau. Av siecle.

M. 0.42 X 0.21.

## ROSUSTREMIERES"
documents/BO0624_4513,6,66,"FLEURS. Peinture sur toile. Signé en bas, a gauche. Cadre doré","66. FLEURS. Peinture sur toile. Signé en bas, a gauche. Cadre doré

M. 010 X 0.28.
## ECOLE FLORENTINE.

(XVe siècle)."
documents/BO0624_4513,79,2,et doré.,"2. et doré.

Haut. 1.05 sans le chapiteau et la base."
documents/BO0624_4513,2,8,"o. FEMME ASSISE sur chaise couverte d'un coussin. De la main gauche soulève en haut le manteau qui descend de la tête et enveloppe tout le corps, laissant à découvert les bras. Les pieds posent sur un tabouret. Haut-relief de la belle époque grecque. Le visage et les mains abimés. Prov. du Musée Nani","- 8o. FEMME ASSISE sur chaise couverte d'un coussin. De la main gauche soulève en haut le manteau qui descend de la tête et enveloppe tout le corps, laissant à découvert les bras. Les pieds posent sur un tabouret. Haut-relief de la belle époque grecque. Le visage et les mains abimés. Prov. du Musée Nani
- Marbre grec. —
- « Cl. Biagi, Monumenta Graeca ex museo equitis ac senatoris lac. Nanii Veneti illustra. Romae 1785 ».

Haut. 1.08 X 0.60.

Voir illustration, planche LI."
