catalogue_id,page_label,iiif_url
BO0624_1003,p. 51,https://historica.unibo.it/iiif-server/f2e732f7-81fd-4d67-800e-6d77daa4da19/full/full/0/default.jpg
BO0624_1003,p. 52,https://historica.unibo.it/iiif-server/d0c97af1-e88d-4261-b272-30bed7c47efd/full/full/0/default.jpg
BO0624_1003,p. 53,https://historica.unibo.it/iiif-server/16a3c875-87ef-42a0-9c8f-15673d7d42d2/full/full/0/default.jpg
BO0624_1003,p. 54,https://historica.unibo.it/iiif-server/191b2802-4ae7-4264-bed5-853a05f17b01/full/full/0/default.jpg
BO0624_1003,p. 55,https://historica.unibo.it/iiif-server/72250945-c718-4631-b3c3-fc8fb2f80809/full/full/0/default.jpg
BO0624_1003,p. 56,https://historica.unibo.it/iiif-server/31b8cfa3-97a1-455d-bd62-a18dfc7def33/full/full/0/default.jpg
BO0624_1003,p. 57,https://historica.unibo.it/iiif-server/fb02b5fb-5b38-4c36-b7b4-0408face1207/full/full/0/default.jpg
BO0624_1003,p. 58,https://historica.unibo.it/iiif-server/c5678dda-6059-4d14-bf8c-23752060dcd5/full/full/0/default.jpg
BO0624_1003,p. 59,https://historica.unibo.it/iiif-server/2d1cc217-8876-43e4-9f57-83763a09c08a/full/full/0/default.jpg
BO0624_1003,p. 6,https://historica.unibo.it/iiif-server/d701bdd1-eab6-4828-bca1-0ea5365929e7/full/full/0/default.jpg
BO0624_1003,p. 60,https://historica.unibo.it/iiif-server/daa2a51c-e25b-49ba-88a5-112d67d485a9/full/full/0/default.jpg
BO0624_1003,p. 61,https://historica.unibo.it/iiif-server/97293b4e-27fb-47eb-b9ef-8666c53b5b33/full/full/0/default.jpg
BO0624_1003,p. 62,https://historica.unibo.it/iiif-server/10dc0664-742b-48fc-82bb-773cb4155fb7/full/full/0/default.jpg
BO0624_1003,p. 63,https://historica.unibo.it/iiif-server/2992393b-7dac-41dc-b950-05a47286d7b1/full/full/0/default.jpg
BO0624_1003,p. 64,https://historica.unibo.it/iiif-server/4748c155-f96f-46bc-ad54-3e796947e98c/full/full/0/default.jpg
BO0624_1003,p. 66,https://historica.unibo.it/iiif-server/657663b9-21b2-4bad-bb19-022a6afa550b/full/full/0/default.jpg
BO0624_1003,p. 67,https://historica.unibo.it/iiif-server/30e08860-f6a7-445e-9392-dfd248615640/full/full/0/default.jpg
BO0624_1003,p. 68,https://historica.unibo.it/iiif-server/02b6e743-01ba-4c74-882d-980dea1e1e53/full/full/0/default.jpg
BO0624_1003,p. 69,https://historica.unibo.it/iiif-server/102c6e0c-5122-4d23-a48d-ccf7e447641e/full/full/0/default.jpg
BO0624_1003,p. 7,https://historica.unibo.it/iiif-server/8c8aeb30-f0d0-4cda-8b6c-b40d87cc99b1/full/full/0/default.jpg
BO0624_1003,p. 70,https://historica.unibo.it/iiif-server/5f6dcc6b-85d8-41e0-8dd1-d42569bf9bdd/full/full/0/default.jpg
BO0624_1003,p. 71,https://historica.unibo.it/iiif-server/40854933-cce5-4153-9d42-cf0b7dffa68e/full/full/0/default.jpg
BO0624_1003,p. 73,https://historica.unibo.it/iiif-server/296b5c03-63a3-43e9-851c-0c140df1b8a2/full/full/0/default.jpg
BO0624_1003,p. 74,https://historica.unibo.it/iiif-server/dd187f25-27e7-4f53-b121-a3d2ac8d4918/full/full/0/default.jpg
BO0624_1003,p. 75,https://historica.unibo.it/iiif-server/46c26f2a-7633-4def-b896-4be7b3d3a1f9/full/full/0/default.jpg
BO0624_1003,p. 76,https://historica.unibo.it/iiif-server/5961fae5-e98f-4576-bdcc-faf62cabdb6e/full/full/0/default.jpg
BO0624_1003,p. 77,https://historica.unibo.it/iiif-server/4d4924b9-15fb-4ee2-b942-363fd177c24c/full/full/0/default.jpg
BO0624_1003,p. 78,https://historica.unibo.it/iiif-server/197d15af-42e2-421a-b9e7-7f99f6d69798/full/full/0/default.jpg
BO0624_1003,p. 79,https://historica.unibo.it/iiif-server/ba4a38a3-ad42-4478-8f78-4986343ee52d/full/full/0/default.jpg
BO0624_1003,p. 8,https://historica.unibo.it/iiif-server/b0a0f5b7-b24e-493c-a70e-6d28bca11050/full/full/0/default.jpg
BO0624_1003,p. 80,https://historica.unibo.it/iiif-server/5dca72dc-306d-40b4-9a91-0d9788e839bc/full/full/0/default.jpg
BO0624_1003,p. 81,https://historica.unibo.it/iiif-server/e28168ea-6d46-4090-991a-766ce9e09925/full/full/0/default.jpg
BO0624_1003,p. 82,https://historica.unibo.it/iiif-server/d29e5fe4-c051-4596-813e-9f8d57c0c4fa/full/full/0/default.jpg
BO0624_1003,p. 83,https://historica.unibo.it/iiif-server/732913e9-703b-44e8-9bc9-da2a4eb20d5c/full/full/0/default.jpg
BO0624_1003,p. 84,https://historica.unibo.it/iiif-server/c1adaf4f-48e8-4625-9f01-ade500ba4f10/full/full/0/default.jpg
BO0624_1003,p. 85,https://historica.unibo.it/iiif-server/8c3be326-c382-4326-90a8-b3d05ea49e2f/full/full/0/default.jpg
BO0624_1003,p. 86,https://historica.unibo.it/iiif-server/603fbe6a-9e6e-47af-a596-3abd05f2a3ed/full/full/0/default.jpg
BO0624_1003,p. 87,https://historica.unibo.it/iiif-server/3945bc40-17e7-4e52-bca9-23e1dd825bd7/full/full/0/default.jpg
BO0624_1003,p. 88,https://historica.unibo.it/iiif-server/caf313ac-0ba5-46ac-b19f-cb6de7388f5e/full/full/0/default.jpg
BO0624_1003,p. 9,https://historica.unibo.it/iiif-server/59132e25-6c12-4d38-9ee0-3a5676e7f18c/full/full/0/default.jpg
BO0624_1003,p. 90,https://historica.unibo.it/iiif-server/9c7d7287-9a10-4497-8e25-fa1009824ced/full/full/0/default.jpg
BO0624_1003,p. 91,https://historica.unibo.it/iiif-server/42a77d9d-7c3c-49ba-9e58-18fb0692f1bb/full/full/0/default.jpg
BO0624_1003,p. 92,https://historica.unibo.it/iiif-server/9959c98f-db54-46b0-a497-ec2d60a00ef5/full/full/0/default.jpg
BO0624_1003,p. 93,https://historica.unibo.it/iiif-server/d7884433-4555-46c4-a7f7-5e46eb966d8f/full/full/0/default.jpg
BO0624_1003,p. 94,https://historica.unibo.it/iiif-server/8af3ff70-375f-417e-a887-9913228a20b9/full/full/0/default.jpg
BO0624_1003,p. 95,https://historica.unibo.it/iiif-server/97e1869f-6460-41c2-acb3-a77e7cd5eebb/full/full/0/default.jpg
BO0624_1003,p. 96,https://historica.unibo.it/iiif-server/c57a16a8-b032-4356-8322-38d9f0e6b3e6/full/full/0/default.jpg
BO0624_1003,p. 97,https://historica.unibo.it/iiif-server/57fc2b2e-ea7a-47d5-94eb-9f394952319a/full/full/0/default.jpg
BO0624_1003,p. 98,https://historica.unibo.it/iiif-server/1bb85da1-4ca9-4e0e-b5d2-08aee3d18b60/full/full/0/default.jpg
BO0624_1003,p. 99,https://historica.unibo.it/iiif-server/bc3769ec-009a-49e1-ba3c-623e2e3fdbf8/full/full/0/default.jpg
BO0624_1003,p. [19],https://historica.unibo.it/iiif-server/7a765793-162b-450b-b7e4-21a11f10210e/full/full/0/default.jpg
BO0624_1003,p. [1],https://historica.unibo.it/iiif-server/a07efda3-1a2f-41ad-883f-d67ae8457b83/full/full/0/default.jpg
