canonical,variants,count
MILLET,MALLET | MILLER | MILLET | Mallet | Miller | Millet | Muiller,264
JAN VAN GOYEN,Hans von Aachen | JAN VAN AACHEN | JAN VAN AAKEN | JAN VAN AKEN | JAN VAN BALEN | JAN VAN BEERESTRATEN | JAN VAN BEERS | JAN VAN BREDA | JAN VAN BYLERT | JAN VAN G0YEN | JAN VAN GOIJEN | JAN VAN GOOL | JAN VAN GOOLEN | JAN VAN GOYEN | JAN VAN GOyEN | JAN VAN HOOGSTRAATEN | JAN VAN HOVE | JAN VAN OS | JAN VAN PEE | JAN VAN RAVENSWAAJ | JAN VAN RAVENZWAAY | JAN VAN S0N | JAN VAN SON | JAN van GOIJEN | JAN van GOYEN | JAN van OS | JAN van SON | JANVANRAVENSWAAY | JEAN VAN BALEN | JEAN VAN DER HEYDEN | JEAN VAN GOYEN | JEAN VAN HAGEN | Jan 0an Steen | Jan Don Boijen | Jan VAN AKEN | Jan VAN GOYEN | Jan pan Boijen | Jan van | Jan van Aachen | Jan van Achen | Jan van Balen | Jan van Beerestraaten | Jan van Boijen | Jan van Breda | Jan van Bylert | Jan van GOIJEN | Jan van GOYEN | Jan van Goiien | Jan van Goijen | Jan van Goljen | Jan van Goyen | Jan van Os | Jan van Ravenswaag | Jan van Ravenswaay | Jan van Ravensway | Jan van Ravenzwaay | Jan van Ravenzwaay d. A. | Jan van Son | Jan van Sonn | Jan van Soon | Jan von Aachen | Jan von Breda | Jean VAN BALEN | Jean van Goyen,264
WATTEAU,"WATTEAU | WATTEAU DE LILLE | WATTEAU DE LILLE (FRANCOIS) | WATTEAU DE LILLE (Louis) | WATTEAU de LILLE | WATTEAU de Lille | WATTEAU, dit de Lille (Louis) | WATTEAU,DE LILLE | WATTEAU,DELILLE | Wateau | Watteau",257
P.P.RUBENS,P. P. RUBENS | P. P. Rubens | P. P.RUBENS | P. P.Rubens | P.-P. Rubens | P.-P.RUBENS | P.P. RUBENS | P.P. Rubens | P.P.RUBENS | P.P.Rubens | p.P.RuBens,226
JONGKIND,1.B.JONGKIND | JONG KIND | JONGH | JONGHE | JONGKIND | JONGKING | Jongkind,223
August Seidel,AUGUIST SPLITGERBER | AUGUST ACHTENHAGER | AUGUST BAUER | AUGUST BECKER | AUGUST BOCKER | AUGUST BROMEIS | AUGUST DEUSSER | AUGUST GEIGER | AUGUST GEIGERTHURING | AUGUST GEIST | AUGUST HORTER | AUGUST JAEGER | AUGUST JAGER | AUGUST KESSLER | AUGUST MEISSNER | AUGUST PODESTA | AUGUST RICHTER | AUGUST RIEDEL | AUGUST RIEPER | AUGUST ROESELER | AUGUST SEIDEL | AUGUST SEIDL | AUGUST SIEGEN | AUGUST SPIESS | AUGUST SPLITGERBER | AUGUST SPLITTGERBER | AUGUST VON SEIDEL | AUGUST VONLERSNER | AUGUST WEBER | AUGUSTSPLITGERBER | Aug. Splitgerber | Aug. Splittgerber | Auguft Weber-Brauns | August Achtenhagen | August BR0MEIS | August Becker | August Deusser | August Friedrich Geist | August Geiger | August Geist | August Gerasch | August Gueni | August Hoerter | August Horter | August Pfeiffer | August Pfister | August Podesta | August RIEPER | August Riedel | August Rieper | August Roeseler | August Roseler | August SEIDEL | August Sattler | August Sedlmair | August Seidel | August Seidl | August Siegen | August Specht | August Spieb | August Spiel | August Splitgerber | August Splitgerber d.I. | August Splitgerber jun. | August Weber | August Weckesser | August v.Riedel | C.AUGUST GEIGER,218
CORNELIS DUSART,CORNELI TROOST | CORNELIO HUYSMANS | CORNELIS | CORNELIS BEGA | CORNELIS BISSCHOP | CORNELIS BRISE | CORNELIS BRIZE | CORNELIS DU SAART | CORNELIS DUSART | CORNELIS HUYSMAN | CORNELIS HUYSMANS | CORNELIS HUYSMANS DE MALINES | CORNELIS HUYSMANS gen. DE MALINES | CORNELIS KRUSEMAN | CORNELIS MAHU | CORNELIS MATSYS | CORNELIS P.BEGA | CORNELIS Pz.BEGA | CORNELIS SACHTLEVEN | CORNELIS SAFT-LEVEN | CORNELIS SAFTLEVEN | CORNELIS SATT-LEVEN | CORNELIS SCHUT | CORNELIS STANGERUS | CORNELIS STOOTER | CORNELIS TROOST | CORNELIS VISCHERII | CORNELIS VROOM | CORNELISDEHEEM | CORNELISSAFTLEVEN | CORNELISZ | CORNELIUS BEGA | CORNELIUS DUSART | CORNELIUS SCHUT | CORNELIUS SCHUTT | CORNELIUS TROOST | Corneel Huysmanns de Mulines | CorneliB Bega | Cornelib ega | Cornelis BEGA | Cornelis Bega | Cornelis DUSART | Cornelis Dusart | Cornelis Huijsmans | Cornelis Huipmans | Cornelis Huysmans | Cornelis Huysmans van Mecheln | Cornelis Mahu | Cornelis Massys | Cornelis Sachtleven | Cornelis Saftleven | Cornelis Schut | Cornelis Troost | Cornelis Vroom | Cornelis du Sart | Cornelius Huysman | Cornelius Huysmann | Cornelius Huysmans | Cornelius Mahu | Cornelius Sachtleven,215
SAINT-AUBIN,SAINT | SAINT-AUBIN | SAINT-AUBIN (AUG. DE) | SAINT-AUBIN (AUG.DE) | SAINT-AUBIN (AUGUSTIN DE) | SAINT-AUBIN (Attribue a) | SAINT-AUBIN (Augustin de) | SAINT-AUBIN (D'apres AuG. DE) | SAINT-AUBIN (D'apres AuG.) | SAINT-AUBIN (GABRIEL DE) | SAINT-AUBIN (GABRIEL de) | SAINT-AUBIN (GABRIEL-JAcQUEs DE) | SAINT-AUBIN (GERMAIN DE) | SAINT-AUBIN (Gabriel de) | SAINT-AUBIN (d'apres A.) | SAINT-AUBIN(A.DE) | SAINT-QUENTIN | SAINTIN,213
ANDREAS ACHENBACH,"ANDR. ACHENBACH | ANDR.ACHENBACH | ANDREA BREGNO | ANDREA SACCHI | ANDREAS ACHENBACH | ANDREAS BRURBACH | ANDREASACHENBACH | Andr. Achenbach | Andr.Achenbach | Andrea Sacchi | Andrea Sacchi, gen. Ouche | Andreas ACHENBACH | Andreas Achenbach | Andreas Lach",206
FRIEDRICH NERLY,FRIEDERICH NERLY | FRIEDR. KALLMORGEN | FRIEDR.KALLMORGEN | FRIEDRICH BAMBERGER | FRIEDRICH BODENMULLER | FRIEDRICH BOSER | FRIEDRICH BOUTERWEK | FRIEDRICH BOWNE | FRIEDRICH BRENTEL | FRIEDRICH CARL MAyER | FRIEDRICH EIBNER | FRIEDRICH FEHR | FRIEDRICH FORSTER | FRIEDRICH FREUND | FRIEDRICH GESELSCHAP | FRIEDRICH GUIMPEL | FRIEDRICH HERLIN | FRIEDRICH HEUNERT | FRIEDRICH HOHE | FRIEDRICH KALLMORGEN | FRIEDRICH KELLER | FRIEDRICH KIND | FRIEDRICH MAYER | FRIEDRICH MEyER | FRIEDRICH MULLER | FRIEDRICH NEHRLICH | FRIEDRICH NERLY | FRIEDRICH OTTO GEBLER | FRIEDRICH PERLBERG | FRIEDRICH PONDEL | FRIEDRICH PONDELL | FRIEDRICH PRELLER | FRIEDRICH PRELLER d.j | FRIEDRICH PROELSS | FRIEDRICH PROLSS | FRIEDRICH RANDEL | FRIEDRICH RICHTER | FRIEDRICH ROSENBERG | FRIEDRICH SALZER | FRIEDRICH SCHOEN | FRIEDRICH SIMMLER | FRIEDRICH SPLITGERBER | FRIEDRICH STAHL | FRIEDRICH STOLTZ | FRIEDRICH SWAGERS | FRIEDRICH WAHLE | FRIEDRICH WAHLEN | FRIEDRICH WENDLER | FRIEDRICH WURTHLE | FRIEDRICH ZELLER | FRIEDRICH.OTTO GEBLER | FRIEDRICHBAMBERGER | FRIEDRICHKELLER | Friedr. Otto Gebler | Friedr. PERLBERG | Friedr. Perlberg | Friedr. von Keller | Friedr.PERLBERG | Friedr.Perlberg | Friedr.von Keller | Friedrich Baer | Friedrich Bamberger | Friedrich Bindewald | Friedrich Bodenmiller | Friedrich Bodenmuller | Friedrich Boser | Friedrich Carl Vetter | Friedrich Dorn | Friedrich Durck | Friedrich Ehemant | Friedrich Eibner | Friedrich Fehr | Friedrich Geselschap | Friedrich Hell | Friedrich Horner | Friedrich Karl Josef SIMMLER | Friedrich Karl Simmler | Friedrich Keck | Friedrich Keller | Friedrich Kihn | Friedrich Maurer | Friedrich Mayer | Friedrich Meister | Friedrich Metz | Friedrich Muller | Friedrich Ortlieb | Friedrich Otto Gebler | Friedrich PERLBERG | Friedrich Perlberg | Friedrich Pondel | Friedrich Preller d. Ae. | Friedrich Preller d. Altere | Friedrich Preller d.A. | Friedrich Preller d.Ae. | Friedrich Preller d.Jung. | Friedrich ProlB | Friedrich Prolb | Friedrich Prols | Friedrich Salzer | Friedrich Simm | Friedrich Stahl | Friedrich Thomas | Friedrich Wahle | Friedrich Wilhelm Muller | Friedrich Wolfram | Friedrich von Keller | Friedrichsen,206
