canonical,variants,count
HOLLANDISCHER MEISTER,HOLLAENDISCHER MEISTER | HOLLANDICHER MEISTER | HOLLANDISCHER MALER | HOLLANDISCHER MARINEMALER | HOLLANDISCHER MEISTER | HOLLANDISCHER SEEMALER | HOLLANDISCHER STILLEBENMALER | HOLLANDISCHERMEISTER | Hollandische Meister | Hollandischer Meister | Hollandiseher Meister | Hollindische Meister | HollÃ¤ndischer Meister,161
ECOLE DE COLOGNE,ECOLE DE BALE | ECOLE DE BERGAME | ECOLE DE BOHEME | ECOLE DE BOLOGNE | ECOLE DE BORGOGNONE | ECOLE DE BOURGOGNE | ECOLE DE BRUGES | ECOLE DE CARAVAGE | ECOLE DE CASTILLE | ECOLE DE CATALOGNE | ECOLE DE COLOGNE | ECOLE DE COYPEL | ECOLE DE DONATELLO | ECOLE DE FERRARE | ECOLE DE FONTAINEBLEAU | ECOLE DE GIORGIONE | ECOLE DE GIOTTO | ECOLE DE GREUZE | ECOLE DE LA TOURAINE | ECOLE DE LANDSEER | ECOLE DE LEYDE | ECOLE DE MIGNARD | ECOLE DE NAPLES | ECOLE DE NATTIER | ECOLE DE NAVARRE | ECOLE DE NUREMBERG | ECOLE DE P.BORDONE | ECOLE DE P.VERONESE | ECOLE DE PADOUE | ECOLE DE PARME | ECOLE DE PISE | ECOLE DE RAPHAEL | ECOLE DE RUBENS | ECOLE DE SANSOVINO | ECOLE DE SAVOIE | ECOLE DE SEVILLE | ECOLE DE SOUABE | ECOLE DE TIEPOLO | ECOLE DE TINTORETTO | ECOLE DE TITIEN | ECOLE DE VALENCE | ECOLE DE VENISE | ECOLE DE VERONE | ECOLE DE VERONESE | ECOLE DE WATTEAU | ECOLE DE WESTPHALIE | ECOLE DES CARRACHE | ECOLE DES VIVARINI | ECOLE DU TINTORET | ECOLE DU TITIEN,132
HOLLANDISCHE SCHULE,HOLLANDISCHE SCHULE | HOLLANDISCHESCHULE | Hollandaise | Hollander | Hollandisch | Hollandische,121
ECOLE VENITIENNE,ECOLE E VENITIENNE | ECOLE VENETIENNE | ECOLE VENITIENNE | ECOLE VENITIENNE (xvIe siecle),115
ENGLISCHE SCHULE,ENGLISCH | ENGLISCHE SCHULE | ENGLISCHEN SCHULE | ENGLISH | ENGLISH SCHOOL | Englisch | Englische Schule | Englischer | English,115
FRANZÃSISCH,FRANZOSISCH | FRANZÃSISCH,115
FRANZOSISCHER MEISTER,FRANZOESISCHER MEISTER | FRANZOSICHER MEISTER | FRANZOSISCHE MEISTER | FRANZOSISCHER KUNSTLER | FRANZOSISCHER MALER | FRANZOSISCHER MEISTER | FRANZOSISCHER PASTELLMALER | FRANZOSISCHER PFERDEMALER | FRANZOSISCHER RENAISSANCEMALER | Franzofifcher Kanitler,101
SCUOLA VENEZIANA,SCUOLA BIZANTINA | SCUOLA VENETA | SCUOLA VENEZIANA | SCUOLA-VENEZIANA | SCUOLABIZANTINA | SCUOLAVENEZIANA,98
SCUOLA FRANCESE,"Franzosische Meister des 18. Jahrhunderts | Franzosische Meister des XVIl. Jahrhunderts | Franzosische Schule aus der Zeit Louis XVl | Franzosische Schule des 19. Jahrhunderts | Franzosische Schule des XVill. Jahrhunderts | Franzosische Schule des Xvill. Jahrhunderts | Franzosische Schule um 1750 | Franzosische Schule um 1770 | Franzosische Schule um 1790 | Franzosische Schule um 1800 | Franzosische Schule, 18. Jahrhundert | Franzosische Schule. 17. Jahrhundert | Franzosischer Meister Des 18. Jahrhunderts | Franzosischer Meister Ende des XVlll. Jahrhundert | Franzosischer Meister des 18. Jahrhunderts | Franzosischer Meister um 1730 | Franzosischer Meister um 1750 | Franzosischer Meister um 1810 | SCUOLA FRANCESE | Scuola Francese | Scuola francese | franzosische Schule um 1850 | franzosische Schule, 19. Jahrhundert",96
ECOLE FRANCAISE DU XVIIIe SIECLE,"ECOLE ANGLAISE DU XVIII SIECLE | ECOLE FRANCAISE (EPOQUE REGENCE) | ECOLE FRANCAISE (Premier Empire) | ECOLE FRANCAISE (XIXe siecle) | ECOLE FRANCAISE (XVIH SIECLE) | ECOLE FRANCAISE (XVII SIECLE) | ECOLE FRANCAISE (XVIII SIECLE) | ECOLE FRANCAISE (XVIII siecle) | ECOLE FRANCAISE (XVIIIe SIECLE) | ECOLE FRANCAISE (XVIIIe siecle) | ECOLE FRANCAISE (XVIIe siecle) | ECOLE FRANCAISE (XVIIl siecle) | ECOLE FRANCAISE (XVIIle siecle) | ECOLE FRANCAISE (XVIlIe siecle) | ECOLE FRANCAISE (XVIll siecle) | ECOLE FRANCAISE (XVIlle siecle) | ECOLE FRANCAISE (xIxe siecle) | ECOLE FRANCAISE (xVII siecle) | ECOLE FRANCAISE (xVIII SIECLE) | ECOLE FRANCAISE (xvI1 siecle) | ECOLE FRANCAISE (xvIH siecle) | ECOLE FRANCAISE (xvIHIe siecle) | ECOLE FRANCAISE (xvIHe siecle) | ECOLE FRANCAISE (xvII siecle) | ECOLE FRANCAISE (xvIII siecle) | ECOLE FRANCAISE (xvIIIe siecle) | ECOLE FRANCAISE (xvIe siecle) | ECOLE FRANCAISE (xvIn siecle) | ECOLE FRANCAISE (xvIne siecle) | ECOLE FRANCAISE (xvi1e siecle) | ECOLE FRANCAISE (xvr siecle) | ECOLE FRANCAISE DU XVIHI SIECLE | ECOLE FRANCAISE DU XVII SIECLE | ECOLE FRANCAISE DU XVIII SIECLE | ECOLE FRANCAISE DU XVIIIe SIECLE | ECOLE FRANCAISE DU XVIIe SIECLE | ECOLE FRANCAISE DU XVeme SIECLE | ECOLE FRANCAISE FIN DU XVIII SIECLE | ECOLE FRANCAISE XIX siecle | ECOLE FRANCAISE XVI siecle | ECOLE FRANCAISE XVIHI SIECLE | ECOLE FRANCAISE XVIHeSIECLE | ECOLE FRANCAISE XVII SIECLE | ECOLE FRANCAISE XVIII SIECLE | ECOLE FRANCAISE XVIIIe siecle | ECOLE FRANCAISE XVIIe SIECLE | ECOLE FRANCAISE XVIIe siecle | ECOLE FRANCAISE du xvie siecle | ECOLE FRANCAISE du xviiie siecle | ECOLE FRANCAISE(XvIHl siecle) | ECOLE FRANCAISE(xvIIe siecle) | ECOLE FRANCAISE(xviII siecle) | ECOLE FRANCAISE,FIN DU XVIIIe SIECLE | ECOLE HOLLANDAISE DU XVIIIe SIECLE",95
SPANISCHER MEISTER,"Altspanischer Meister | SPANISCHE MEISTER | SPANISCHER (?) MEISTER DES 18. JAHRHUNDERTS | SPANISCHER MEISTER | SPANISCHER MEISTER DES 17. JAHRH | SPANISCHER MEISTER DES 17. JAHRHUNDERTS | SPANISCHER MEISTER DES 17.IAHRHUNDERTS | SPANISCHER MEISTER DES 17.JAHRH | SPANISCHER MEISTER DES 17.JAHRHUNDERTS | SPANISCHER MEISTER DES 18. JAHRHUNDERTS | SPANISCHER MEISTER DES XVI. JAHRHUNDERTS | SPANISCHER MEISTER des 19.Jahrhunderts | SPANISCHER MEISTER,1.HALFTE DES XVII. JAHRHUNDERTS | Spanische Meister | Spanische Meister des 17. Jahrhunderts | Spanischer Meister | Spanischer Meister des 17. Jahrhunderts | spanischer Meister",95
ECOLE FLORENTINE,ECOLE FLORENTINE | ECOLE de FLORENTINE,92
Ecole Italienne,"Ecole Italienne | Ecole Italienne XVI Siecle | Ecole de l'Italie Septentrionale | Ecole italienne | Ecole italienne du XVI siecle | Ecole italienne du XVII siecle | Ecole italienne du XVIIsiecle | Ecole primitive italienne | GEMALDE DER ITALIENISCHEN SCHULE | Htalienischer Meister | ITALIENISCHE SCHULE 17. JAHRH. | ITALIENISCHE SCHULE 17.JAHRHUNDERT | ITALIENISCHE SCHULE DER ZEIT DES GIOV. BATTISTA TIEPOLO | ITALIENISCHE SCHULE DES 16. JAHRH | ITALIENISCHE SCHULE DES 16. JAHRHUNDERTS | ITALIENISCHE SCHULE DES 17. JAHRHUNDERTS | ITALIENISCHE SCHULE DES 17.JAHRH. | ITALIENISCHE SCHULE DES 17.JAHRHUNDERTS | ITALIENISCHE SCHULE DES ANDREA DEL SARTO | ITALIENISCHE SCHULE DES XV.JAHRH. | ITALIENISCHE SCHULE DES XVI. JAHRH | ITALIENISCHE SCHULE DES XVII. JAHRHUNDERTS | ITALIENISCHE SCHULE DES XVII.JAHRH | ITALIENISCHE SCHULE DES17.JAHRH | ITALIENISCHE SCHULE,XVII.JAHRH. | Italienische Schule XVl. Jahrh. | Italienische Schule XVll. Jahrh. | Italienische Schule des I2. Jahrh. | Italienische Schule des XV. und xvI. Jahrh. | Italienische Schule des XVill.Jahrh. | Italienische Schule des l4. Jahrh. | Italienische Schule des xV. und xVI. Jahrh. | Italienische Schule, Ende 17.Jahrh. | Italienische Schule,16.Jahrh. | Jtalienischer Meister | PEINTURE ITALTENNE | Scuole diverse Italiane | ltalienisch | ltalienischer Meister | ltalienisdhe Scule",88
Minchener Schule,Altminchener Schule | Miinchener Schule | Miinchner Schule | Miinster'sche Schule | Minchener Schule | Minchner Schule | Mtinchener Schule | Muinchener Schule | Muinchener Schule. | Muinchner Schule | MÃ¼nchener Schule,88
Deutscher Meister,DEUTSCHE KUNSTLER | DEUTSCHE MEISTER | DEUTSCHE NAZARENER | DEUTSCHER KLEINMEISTER | DEUTSCHER KUNSTLER | Deutsche KÃ¼nstler | Deutsche Malerei | Deutsche Meister | Deutscher Kinstler | Deutscher Kunstler | Deutscher Maler | Deutscher Meister | GEMALDE DER DEUTSCHEN SCHULE,82
Munchener Schule,Munchener Diezschule | Munchener Schule | Munchener Schule.,82
ITALIENISCHER MEISTER DES 17. JAHRHUNDERTS,"ITALIENISCHE MEISTER DES 17. JAHRHUNDERTS | ITALIENISCHE MEISTER DES 17.JAHRHUNDERTS | ITALIENISCHE MINIATURMALEREI DES 16.JAHRHUNDERT | ITALIENISCHER MALER DES 17.JAHRH. | ITALIENISCHER MEISTER DES 14.JAHRHUNDERTS | ITALIENISCHER MEISTER DES 15. JAHRHUNDERTS | ITALIENISCHER MEISTER DES 15.JAHRH. | ITALIENISCHER MEISTER DES 16. JAHRHUNDERTS | ITALIENISCHER MEISTER DES 16.IAHRHUNDERTS | ITALIENISCHER MEISTER DES 16.JAHRH | ITALIENISCHER MEISTER DES 16.JAHRH. | ITALIENISCHER MEISTER DES 16.JAHRHUNDERTS | ITALIENISCHER MEISTER DES 17. JAHRH | ITALIENISCHER MEISTER DES 17. JAHRHUNDERTS | ITALIENISCHER MEISTER DES 17.IAHRHUNDERTS | ITALIENISCHER MEISTER DES 17.JAHRH. | ITALIENISCHER MEISTER DES 17.JAHRHUNDERTS | ITALIENISCHER MEISTER DES 18. JAHRH. | ITALIENISCHER MEISTER DES 18. JAHRHUNDERTS | ITALIENISCHER MEISTER DES 18.JAHRH. | ITALIENISCHER MEISTER DES 18.JAHRHUNDERTS | ITALIENISCHER MEISTER DES XVI. JAHRHUNDERTS | ITALIENISCHER MEISTER DES XVII JAHRHUNDERTS | ITALIENISCHER MEISTER DES XVII.JAHRHUNDERTS | ITALIENISCHER MEISTER DES XVIII. JAHRHUNDERTS | ITALIENISCHER MEISTER VOM ENDE DES 18.JAHRH. | ITALIENISCHER MEISTER des 17. Jahrhunderts | ITALIENISCHER MEISTER,ENDE XVIHI.JAHRH. | ITALIENISCHER MEISTER,XVI.JAHRHUNDERT | ITALIENISCHER MEISTER,XVII.JAHRH. | ITALIENISCHER MEISTER,XVII.JAHRHUNDERT | ITALIENISCHER MEISTER,XVIII.JAHRH. | ITALIENISCHER MEISTER.DES 18. JAHRHUNDERTS | ITALIENISCHERMEISTER DESXVIII.JAHRH. | Italienischer Meister 16. Jahrhundert | Italienischer Meister 17. Jahrhundert | Italienischer Meister 18. Jahrhundert | Italienischer Meister des 16. Jahrhunderts | Italienischer Meister des XVI. Jahrh | Italienischer Meister des XVI. Jahrh. | Italienischer Meister des XVI.Jahrhunderts | Italienischer Meister des XVIll. Jahrh | Italienischer Meister, Anfang 18,Jahrh. | Italienischer Meister, XVIl. Jahrhundert | Italienischer Meister, XVIlI. Jahrhundert | Italienischer Meister,XVII. Jahrhundert",78
DEUTSCHER MEISTER,DEUTSCHER BAROCKMALER | DEUTSCHER BAROCKMEISTER | DEUTSCHER BILDNISMALER | DEUTSCHER DECKENMALER | DEUTSCHER LANDSCHAFTSMALER | DEUTSCHER MALER | DEUTSCHER MEISTER | DEUTSCHER PASTELLMALER | DEUTSCHER SCHLACHTENMALER | DEUTSCHER STILLEBENMALER,77
FLAMANDE,FLAMANDE | FLAMANDES | FLAMANDS | FLAMIISCHER MEISTER | FLAMISCHE SCHULE | FLAMISCHE SCHULE DES | FLAMISCHEN SCHULE | FLAMISCHER HAUSALTAR DES | FLAMISCHER MEISTER | FLAMISCHER MEISTER (RUBENSSCHULE) | FLAMISCHER PRIMITIVER | FLAMISCHER.MEISTER | FLANDRISCHER MEISTER | Flamifcer meifter | Flamischer Kinstler | Flamischer Meister | Flandrisch | Flandrischer Meister,76
VLAMISCHER MEISTER,VLAMISCHER MEISTER | VLAMISCHERMEISTER | Vlaemischer Meister | Vlamische Meister | Vlamischer Meister | Vlimischer Meister | VlÃ¤mischer Meister,75
DEUTSCHER MEISTER DES 17. JAHRHUNDERTS,"DEUTSCHE MEISTER DES 16. JAHRHUNDERTS | DEUTSCHE MEISTER DES XVIII. JAHRHUNDERTS | DEUTSCHER MALER DES 16. JAHRH. | DEUTSCHER MALER DES 17.JAHRH. | DEUTSCHER MEISTER DES 15. JAHRHUNDERTS | DEUTSCHER MEISTER DES 15.JAHRH. | DEUTSCHER MEISTER DES 16. JAHRHUNDERTS | DEUTSCHER MEISTER DES 16.JAHRHUNDERTS | DEUTSCHER MEISTER DES 17. JAHRHUNDERTS | DEUTSCHER MEISTER DES 17.JAHRH. | DEUTSCHER MEISTER DES 17.JAHRHUNDERTS | DEUTSCHER MEISTER DES 18. JAHRHUNDERTS | DEUTSCHER MEISTER DES 18.JAHRH. | DEUTSCHER MEISTER DES 19. JAHRHUNDERTS | DEUTSCHER MEISTER DES XIX.JAHRHUNDERTS | DEUTSCHER MEISTER DES XVI.JAHRHUNDERTS | DEUTSCHER MEISTER DES XVII. JAHRHUNDERTS | DEUTSCHER MEISTER DES XVIII. JAHRHUNDERTS | DEUTSCHER MEISTER DES16.JAHRH. | DEUTSCHER MEISTER VOM ANFANG DES 19. JAHRHUNDERTS | DEUTSCHER MEISTER VOM ANFANG DES 19.JAHRHUNDERTS | DEUTSCHER MEISTER VOM ENDE DES 18. JAHRHUNDERT | DEUTSCHER MEISTER XVII.JAHRH. | DEUTSCHER MEISTER,18. JAHRH. | DEUTSCHER MEISTER,XVII.JAHRH. | DEUTSCHER MEISTER,XVII.JAHRHUNDERT | DEUTSCHER MEISTER,XVIII.JAHRH. | DEUTSCHER MEISTER,XVIII.JAHRHUNDERT | Deutsche Meister des 18. Jahrh. | Deutscher Meister Des 18. Jahrhunderts | Deutscher Meister XVl. Jahrh. | Deutscher Meister des 16. Jahrhunderts | Deutscher Meister des 17. Jahrh | Deutscher Meister des 17. Jahrhunderts | Deutscher Meister des 18. Jahrh. | Deutscher Meister des XV. Jahrhunderts | Deutscher Meister des XVI. Jahrh. | Deutscher Meister des XVII. Jahrh. | Deutscher Meister des XVIl. Jahrhunderts | Deutscher Meister des XVIll. Jahrh | Deutscher Meister des XVIll. Jahrh. | Deutscher Meister des XVill. Jahrh. | Deutscher Meister des XVill. Jahrhunderts | Deutscher Meister des XVl. Jahrh. | Deutscher Meister des XvIl. Jahrh. | Deutscher Meister des xVill. Jahrh. | Deutscher Meister vom Anfang des 19. Jahrhunderts | Deutscher Meister vom Ausgang des 15. Jahrhunderts | Deutscher Meister, 18. Jahrh. | Deutscher Meister, Ende 18. Jahrh. | Deutscher Meister, Mitte 18. Jahrh. | Deutscher Meister,18. Jahrh. | Deutscher Meister,2.Halfte,19. Jahrh. | Deutscher Meister,Ende 18. Jahrh. | Deutscher Meister,Ende 18.Jahrh.",74
Venetianische Schule,VENETIAN SCHOOL | VENETIAN SCHOOL XV CENTURY | VENETIAN SCHOOL XV-XVI CENTURY | VENETIANSCHOOL | Venetianilche Schule | Venetianische Schule | Venezianische Schule,73
