index,num,title,text,catalogue_id
1,194,bis,"194 bis

## PREMIÈRE VENTE

Mercredi 29 Novembre à 14 heures et demie précises

- T. PENDULE DE CHEMINÉE. Bronze représentant un insurgé grec",documents/BO0624_4670
2,2,"sur base de marbre noir avec ornements en bronze doré. Pied avec globe. NATURE MOrte. Sur toile, cadre blanc et or. Laro. m. 0.49 - Haut. m. 0.62.","2. sur base de marbre noir avec ornements en bronze doré. Pied avec globe.

ECOLE FLAMANDE

NCONNU (copie de van Dyck)

CARBONE (Jean bernard) 2. NATURE MOrte. Sur toile, cadre blanc et or. Laro. m. 0.49 - Haut. m. 0.62.",documents/BO0624_4670
3,3,"PeTITE GLAce de cheminée, cadre bois verni blanc et or.","3. PeTITE GLAce de cheminée, cadre bois verni blanc et or.",documents/BO0624_4670
4,4,FAUTEUIL en noyer garni d'étoffe en laine à ramages.,4. FAUTEUIL en noyer garni d'étoffe en laine à ramages.,documents/BO0624_4670
5,5,"LE CHRIST À LA CROIX. Sur toile, cadre bois verni. Laro. m. 1.05 - Haut. m. 1.30","5. LE CHRIST À LA CROIX. Sur toile, cadre bois verni. Laro. m. 1.05 - Haut. m. 1.30",documents/BO0624_4670
6,6,FAUTEUIl. en noyer garni de cuir rouge.,6. FAUTEUIl. en noyer garni de cuir rouge.,documents/BO0624_4670
7,7,"GLACe carrée, cadre en acajou.","7. GLACe carrée, cadre en acajou.

Larg. m. 1.20 - Haut. m. 1.00",documents/BO0624_4670
8,8,"SAINTE MARIE DE CORTONE. Tableau sur toile, cadre blanc et or. Larg. m. 0.54 - Haut. m. 0.67•","8. SAINTE MARIE DE CORTONE. Tableau sur toile, cadre blanc et or. Larg. m. 0.54 - Haut. m. 0.67•
- ECOLE DE GÊNES . 9. La MADoNE, avec l'enfant Jésus. Sur toile, cadre en bois verni. Larg. m. 1.63 - Haut. m. 1.60",documents/BO0624_4670
9,I0,ARMOIRE à glace en acajou à un battant et un tiroir. Haut. m. 2.10 - Larg. m. 1.20.,- I0. ARMOIRE à glace en acajou à un battant et un tiroir. Haut. m. 2.10 - Larg. m. 1.20.,documents/BO0624_4670
10,11,"CANAPÉ en noyer sculpté à trois médaillons, garni de drap rouge.","11. CANAPÉ en noyer sculpté à trois médaillons, garni de drap rouge.
- ECOLE DE BOLOGNE 12. Ессе Hoo. Sur toile, cadre en bois doré. Larg. m. 0.36 - Haut. m. 0.48.",documents/BO0624_4670
11,13,"GRANDE TABLE en acajou, pied sculpté dessus incrusté à filets.","13. GRANDE TABLE en acajou, pied sculpté dessus incrusté à filets.",documents/BO0624_4670
12,14,"14. FAUTEUIL, (époque Louis-Philippe) en noyer sculpté, recouvert d'une belle broderie, style Louis XIV, dont le médaill","14. FAUTEUIL, (époque Louis-Philippe) en noyer sculpté, recouvert d'une belle broderie, style Louis XIV, dont le médaillon du dossier en petit point, le tout en soie.
- CARRACCIO Ba attribuéa)",documents/BO0624_4670
13,15,"15. SAINT ANTOINE ET SAINT PAUL. Tableau sur toile, cadre en bois blanc et or.","15. SAINT ANTOINE ET SAINT PAUL. Tableau sur toile, cadre en bois blanc et or.

Larg. m. 1.00 - Haut. m. T.24.",documents/BO0624_4670
14,16,"BURFAU À TIROIRs en acajou, style Empire, dessus en marbre jaune de Sienne; petits ornements et manches cuivre doré.","16. BURFAU À TIROIRs en acajou, style Empire, dessus en marbre jaune de Sienne; petits ornements et manches cuivre doré.

Larg. m. 1.30 X 0.83 - Haut. m. I.20.",documents/BO0624_4670
15,17,"CoMMODE à six tiroirs, même style et décor que le précédent.","17. CoMMODE à six tiroirs, même style et décor que le précédent.

Larg. m. 1.58 X 0.69 - Haut. m. 0.98.",documents/BO0624_4670
16,18,"SECRÉTAIRE, même style et décor que le précédent. Larg. m. 1.00 X 0.53 - Haut. m. 1.35.","18. SECRÉTAIRE, même style et décor que le précédent. Larg. m. 1.00 X 0.53 - Haut. m. 1.35.",documents/BO0624_4670
17,2,"TAVELLA (CB175- Antoine) 19. PAYSAGE ANIMÉ. Très beau tableau de cet élève de Tempesta, sur toile, cadre bois blanc et or.","2. TAVELLA (CB175- Antoine) 19. PAYSAGE ANIMÉ. Très beau tableau de cet élève de Tempesta, sur toile, cadre bois blanc et or.

Larg. m. 1.20 - Haut, m. 1.54.

Larg. m. 1.20 - Haut. m. 1.54.",documents/BO0624_4670
18,20,PENDANT DU PRÉCÉDENT.,20. PENDANT DU PRÉCÉDENT.,documents/BO0624_4670
19,2,"T. DEUX BEAUX RIDEAUX DE FENÊTRE avec lambrequins, pas-","- 2T. DEUX BEAUX RIDEAUX DE FENÊTRE avec lambrequins, pas-
- sementeries, embrasses, en damas de soie Louis-Philippe, blanc et bleu; doublés de soie bleue, galeries en bois blanc et or.

Long. m. 4.50 - Larg. m. 1.50.",documents/BO0624_4670
20,22,"UNE DAME en robe rouge, avec ombrelle, dans un parc, toile, cadre blanc","22. UNE DAME en robe rouge, avec ombrelle, dans un parc, toile, cadre blanc",documents/BO0624_4670
21,I,NCONNU entourée de divers animaux. CL Or.,"INCONNU entourée de divers animaux. CL Or.

Larg. m. 0.78 - Haut. m. 0.63.",documents/BO0624_4670
22,I,"NCONNU 23. LE CHRIST À LA CRoIx. Sur toile, cadre bois verni. Larg. M. 1.39 - Haut. m. 1.57","INCONNU 23. LE CHRIST À LA CRoIx. Sur toile, cadre bois verni. Larg. M. 1.39 - Haut. m. 1.57

PIOLEUX, Gênes 162% 1703 24. SAINT JOSEPH ET L'ENFANT JÉsUs. Joli tableau sur toile, cadre blanc et or.

Lare. m. 0.82 - Haut. m. 0.98",documents/BO0624_4670
23,25,"BEAU MOBILIER DE CHAMBRE À COUCHER en noyer des Indes,","25. BEAU MOBILIER DE CHAMBRE À COUCHER en noyer des Indes,",documents/BO0624_4670
24,2,"intarsié de bois de rose, composé de:","2. intarsié de bois de rose, composé de:

UN GRAND LIT DOUBLE, sommier, deux matelas, quatre coussins, couverture et rouleau en étoffe jaune;

DEUX COMMODES, avec petites galeries, dessus marbre rouge:

DEUX TABLES DE NUIT, dessus de marbre rouge;

LAVABo à coulisse et armoire;

SECRÉTAIRE à coulisse et tiroirs ;

TABLE-TOILETTE, avec miroir, dessus contourne, marbre blanc;

ÉCRAN garni d'une broderie sur velours;

GRAND FAUTEUIL garni de broderies;

DEUX CHAIsEs idem;

UNE TABLE À OUVRAGE;

UN TRUMEAU à colonnes, avec deux candélabres à deux bougies.

ECOLE DE BOLOGNE 26. SAINT FRANÇOIS D'ASSISE. Bon tableau sur toile, cadre blanc",documents/BO0624_4670
25,27,"27. PenduLe, en métal oxydé et ornements rapportés en bronze doré, représentant un petit temple gothique. Cadran bronze ","27. PenduLe, en métal oxydé et ornements rapportés en bronze doré, représentant un petit temple gothique. Cadran bronze doré, base en noyer incrusté, globe.

BADARO (64-720-Raphaël)",documents/BO0624_4670
26,28,"28. DIOGÈNE AVEC SA LANTERNE. Tableau sur bois, cadre en bois blanc et or.","28. DIOGÈNE AVEC SA LANTERNE. Tableau sur bois, cadre en bois blanc et or.

Larg. m. 0.72 - Haut. m. 0.97.",documents/BO0624_4670
27,29,BEL ÉTENDARD brodé en or sur moire blanche. D'un côté la Madone peinte et brodée; de l'autre côté le monogramme de la Sainte-Vierge brodé en or.,"29. BEL ÉTENDARD brodé en or sur moire blanche. D'un côté la Madone peinte et brodée; de l'autre côté le monogramme de la Sainte-Vierge brodé en or.

ECOLE DE GÊNES. 30. LE CHRIST À LA COLONNE. Tableau sur toile, cadre en bois blanc et or.

Larg. m. 0.99 - Haut. m. 1.25.

Larg. m. 1.63 - Haut. m. 1.6o.

STROZZ BERNARD. 32. SAINTE CéCILE. Beau tableau décoratif sur toile, cadre en bois verni.

Larg: m. 1.37 - Haut. m. 1.57.",documents/BO0624_4670
28,33,"CHAISE À PORTEUR en cuir noir toit bombé, les coins, les fenêtres et la porte filetés de cuivre. Manche de porte à armoiries, intérieur damas rouge.","33. CHAISE À PORTEUR en cuir noir toit bombé, les coins, les 2. fenêtres et la porte filetés de cuivre. Manche de porte à armoiries, intérieur damas rouge.

Larg. m. 0.75 - Haut. m. 1.70.",documents/BO0624_4670
29,34,"PORTRAIT D'UN GENTILHOMMe, tenant un arc en main. Sur toile, cadre bois verni.","34. PORTRAIT D'UN GENTILHOMMe, tenant un arc en main. Sur toile, cadre bois verni.

Larg. m. 1.10 - Haut. m. 1.95.",documents/BO0624_4670
30,I,"NCONNU 35. PORTRAIT D'HOMME. Tableau décoratif sur toile, cadre en bois verni.","- INCONNU 35. PORTRAIT D'HOMME. Tableau décoratif sur toile, cadre en bois verni.

Larg, m. 1.23 - Haut. m. 2.05",documents/BO0624_4670
31,36,"36. QUATRE FAUTEUILS ET QUATRE CHAISES Louis XVI, bois verni noyer et or. Garniture des fauteuils en damas rouge; les ch","36. QUATRE FAUTEUILS ET QUATRE CHAISES Louis XVI, bois verni noyer et or. Garniture des fauteuils en damas rouge; les chaises ont les sièges et le dos cannés et des coussins de siège recouverts de damas rouge.

ECOLE DE GÊNES.",documents/BO0624_4670
32,37,"37. CINQ PAYSAGES ANIMÉS, dessus de porte, toiles sans cadres. Larg. m. I.00 - Haut. m. I.I0.","37. CINQ PAYSAGES ANIMÉS, dessus de porte, toiles sans cadres. Larg. m. I.00 - Haut. m. I.I0.
- BARBERC (Francois) dit IL",documents/BO0624_4670
33,38,"38. ROLAND RETENU PAR L'AMOUR. Bon tableau sur toile, sans cadre","38. ROLAND RETENU PAR L'AMOUR. Bon tableau sur toile, sans cadre

Larg. m. 1.35 - Haut. m. I:80

- FIASELLA (Dominique).",documents/BO0624_4670
34,39,"39. ARMIDE ESSAYANT DE RETENIR RINALDO. Très bon tableau sur toile, sans cadre.","39. ARMIDE ESSAYANT DE RETENIR RINALDO. Très bon tableau sur toile, sans cadre.

Larg. m. I.35 - Haut. m. 1.80",documents/BO0624_4670
