index,num,title,text,catalogue_id
1,1,"TRONE formé par un banc, un dossier et un dais; bois couvert de drap rouge garni de galons jaunes; armoiries de la maison Orsini peintes sur toile rapportées. Balustrade en bois façon noyer. Deux coussins couverts de drap bleu: une ombrelle en soie bleue. Housses de mousseline bleue.","1. TRONE formé par un banc, un dossier et un dais; bois couvert de drap rouge garni de galons jaunes; armoiries de la maison Orsini peintes sur toile rapportées. Balustrade en bois façon noyer. Deux coussins couverts de drap bleu: une ombrelle en soie bleue. Housses de mousseline bleue.",documents/BO0624_4454
2,2,CASSAPANCA à haut dossier et à deux accoudoirs: bois richement sculpté. La façade et les côtés sont décorés de moulures et de mascarons. Cimaise portant les armoiries de la maison Orsini. Elle pose sur des pattes de lion.,"2. CASSAPANCA à haut dossier et à deux accoudoirs: bois richement sculpté. La façade et les côtés sont décorés de moulures et de mascarons. Cimaise portant les armoiries de la maison Orsini. Elle pose sur des pattes de lion.

Long. m. 2.40; haut. avec la cimaise m. 1.51.",documents/BO0624_4454
3,3,CASSAPANCA pareille à la précédente.,3. CASSAPANCA pareille à la précédente.,documents/BO0624_4454
4,4,CASSAPANCA pareille.,4. CASSAPANCA pareille.,documents/BO0624_4454
5,5,"ANCIENNE TABLE, noyer; deux pieds en forme de lyre.","5. ANCIENNE TABLE, noyer; deux pieds en forme de lyre.",documents/BO0624_4454
6,6,PLATEAU OVALE en argent avec écusson de la maison Orsini. Empire.,"6. PLATEAU OVALE en argent avec écusson de la maison Orsini. Empire.

Poid kil. 1.270.",documents/BO0624_4454
7,7,"DEUX CHAISES Renaissance, noyer. Sur le dossier, les armoiries sculptées de la maison Orsini.","7. DEUX CHAISES Renaissance, noyer. Sur le dossier, les armoiries sculptées de la maison Orsini.",documents/BO0624_4454
8,8,DEUX CHAISES pareilles aux précédentes.,8. DEUX CHAISES pareilles aux précédentes.,documents/BO0624_4454
9,9,DEUX CHAISES pareilles.,9. DEUX CHAISES pareilles.,documents/BO0624_4454
10,10,CANDÉLABRE; plâtre bronzé. Socle en bois verni.,"10. CANDÉLABRE; plâtre bronzé. Socle en bois verni.

Haut. totale m. 2.",documents/BO0624_4454
11,11,"DEUX VASES EN MARBRE, représentant l'un la fable de Pysché et de l'Amour, et l'autre le triomphe de l'Amour. Bases en bois avec écusson.","11. DEUX VASES EN MARBRE, représentant l'un la fable de Pysché et de l'Amour, et l'autre le triomphe de l'Amour. Bases en bois avec écusson.

Haut. des vases m. 0.94.",documents/BO0624_4454
12,12,DEUX GLACES. Cadres en bois noir guilloché.,12. DEUX GLACES. Cadres en bois noir guilloché.,documents/BO0624_4454
13,2,Dimens. de la glace m. 0.91 X 0.83.,2. Dimens. de la glace m. 0.91 X 0.83.,documents/BO0624_4454
14,3,"galons et de franges jaunes. Armoiries de la maison Orsini peintes sur satin,","3. galons et de franges jaunes. Armoiries de la maison Orsini peintes sur satin,

Haut. m. 2.40 X 1.60.",documents/BO0624_4454
15,13,"CINQ PORTIÈRES en drap rouge, garnies de rapportées.","13. CINQ PORTIÈRES en drap rouge, garnies de rapportées.",documents/BO0624_4454
16,14,UNE GRANDE PORTIÈRE à fond en drap rouge. Bordure et écusson au centre.,14. UNE GRANDE PORTIÈRE à fond en drap rouge. Bordure 3. et écusson au centre.,documents/BO0624_4454
17,15,DEUX RIDEAUX de fenêtre à deux parties; drap rouge garni de galons jaunes: lambrequin et galerie noires. Stores en mousseline blanche.,"15. DEUX RIDEAUX de fenêtre à deux parties; drap rouge garni de galons jaunes: lambrequin et galerie noires. Stores en mousseline blanche.

## TABLEAUX.",documents/BO0624_4454
18,16,ENLÈVEMENT D'EUROPE. Cadre doré.,16. ENLÈVEMENT D'EUROPE. Cadre doré.,documents/BO0624_4454
19,2,"Toile, larg. m. 1.65 X 2.20.","2. Toile, larg. m. 1.65 X 2.20.",documents/BO0624_4454
20,3,daillons.,"3. daillons.

## TAPIS.",documents/BO0624_4454
