Frasi in NLP;Triplette in NLP;;;CIDOC CRM;;;Vocabolari esterni;
“L'Oggetto ha uno Stato di Conservazione”;Oggetto;ha stato di conservazione;Stato;crm:E22_Human-Made_Object;crm:P44_has_condition;crm:E3_Condition_State;/;Condition Statement [aat:300435425]
“L'Oggetto ha una Storia Espositiva”;Oggetto;ha storia espositiva;Mostre;crm:E22_Human-Made_Object;crm:P16i_was_used_for;crm:E7_Activity [Exhibition];/;"Exhibiting [aat:300054766]
Exhibition Statement [aat:300435424]"
“L'Oggetto ha una Storia Collezionistica (proprietari precedenti)”;Oggetto;ha storia collezionistica;Proprietari precedenti;crm:E22_Human-Made_Object;crm:P51_has_former_or_current_owner;crm:E39_Actor;Provenance Statement [aat:300435438];/
“L'Oggetto è menzionato da una Bibliografia”;Oggetto;è menzionato da;Bibliografia;crm:E22_Human-Made_Object;crm:P67i_is_referred_to_by;crm:E31_Document [Bibliografia];/;Bibliografia [aat:300026497]
"""L'Oggetto ha un'Iscrizione""";Oggetto;ha descrizione ;Iscrizione;crm:E22_Human-Made_Object;crm:P128_carries;crm:E33_Linguistic_Object [Iscrizione];/;Inscription Statement [aat:300435414]
"""L'Oggetto Fisico può essere acquisito"" 

(Nota: l'acquisizione riguarda l'oggetto fisico già modellato tramite la:members_exemplified_by nel lotto)";Oggetto Fisico;ha cambiato properità attraverso;Acquisizione;crm:E22_Human-Made_Object;crm:P24i_changed_title_through;crm:E8_Acquisition;/;/
"""L'Acquisizione trasferisce il titolo dall'ex proprietario""";Acquisizione;trasferisce da;Venditore;crm:E8_Acquisition;crm:P23_transferred_title_from;crm:E21_Person;/;/
Attribuzione di paternità del Lotto;;;;;;;;
“Il Lotto ha un'Attribuzione” ;Attribuzione;ha oggetto dell'attribuzione;Lotto;crm:E13_Attribute_Assignment;crm:P140_assigned_attribute_to;la:Set;/;/
“Il Lotto è stato attribuito ad una Persona” ;Attribuzione;ha autore attribuito;Botticelli;crm:E13_Attribute_Assignment;crm:P141_assigned;crm:E21_Person ;/;/
“Il Lotto è stato attribuito ad un Gruppo Artistico” ;Attribuzione;ha riferimento  a correnti artistiche;Gruppo Artistico ;crm:E13_Attribute_Assignment;crm:P141_assigned;crm:E74_Group;/;/
"""Il Gruppo Artistico è di diverse tipologie""";Gruppo Artistico;è di tipo;Gruppo Artistico 1 (Atelier, Scuola di, Maniera di);crm:E74_Group;crm:P2_has_type;crm:E55_Type;/;"Atelier (of)	[aat:300404277]
Circle (of)	[aat:300404283]	
Followers (of)	[aat:300404282]	
Pupils (of)	[aat:300404279]	
School (of)	[aat:300404284]	
Studio (of)	[aat:300404275]	
Workshop (of)	[aat:300404274]"
"""La Persona è considerata l'Autore dell'oggetto/i del Lotto (la Persona ha eseguito l'azione di creare l'opera del Lotto)""";Attribuzione;è affidata a chi;Esegue l'opera;crm:E13_Attribute_Assignment;crm:P177_assigned_property_of_type;crm:P14_carried_out_by;/;/
"""L'Attribuzione è un atto interpretativo""";Attribuzione;è di tipo;Atto Interpretativo;crm:E13_Attribute_Assignment;rdf:type;hico:InterpretationAct;/;/
"""L'Attribuzione è di tipo [tipo]""";Attribuzione;è di tipo;Tipo Attribuzione;crm:E13_Attribute_Assignment;hico:hasInterpretationType;hico:InterpretationType;/;"Attribuzione d'autore o scuola [aat:300056109]
"
"""L'Attribuzione si basa su un criterio""";Attribuzione;si basa su;Criterio;crm:E13_Attribute_Assignment;hico:hasInterpretationCriterion;hico:InterpretationCriterion;/;"Sigla [aat:300404659]
Firma [aat:300028705]
Interpretazione storica [aat:300226183]
Certificato di garanzia [aat:300404374]
Signature Statement [aat:300028705]"
"""L'Attribuzione è estratta dal Catalogo""";Attribuzione;è estratta da;Catalogo;crm:E13_Attribute_Assignment;hico:isExtractedFrom;crm:E31_Document [Catalogo];/;/
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
