Frasi in NLP;Triplette in NLP;;;CIDOC CRM;;;Vocabolari esterni;
"""Il Catalogo fa parte di una Serie""";Catalogo;è parte di;Serie;crm:E31_Document [Catalogo];crm:P148i_is_component_of;crm:E31_Document [Serie];/;/
"""La serie è di tipo Serie di pubblicazioni""";Serie;è di tipo;tipo_1 [Serie di pubblicazioni];crm:E31_Document [Serie];crm:P2_has_type;crm:E55_Type;/;Serie di pubblicazioni [aat:300026642]
Descrizione fisica del catalogo;;;;;;;;
"""Il Documento è fisicamente realizzato in un Oggetto""";Documento;è fisicamente realizzato in;Oggetto Fisico;crm:E31_Document [Catalogo];crm:P128i_is_carried_by;crm:E22_Human-Made_Object;/;/
"""L'Oggetto Fisico Catalogo ha una segnatura Zeri come identificativo predefinito""";Oggetto Fisico;ha ID predefinito;ID ;crm:E22_Human-Made_Object;crm:P48_has_preferred_identifier;crm:E42_Identifier;/;/
"""L'Identificativo ha un contenuto testuale""";ID;ha;Contenuto Testuale;crm:E42_Identifier;crm:P190_has_symbolic_content;xsd:string;/;/
"""L'Identificativo è di tipo Numero di Inventario""";ID ;è di tipo;Tipo ID [Numero];crm:E42_Identifier;crm:P2_has_type;crm:E55_Type;/;aat:300312355 [numero di inventario]
"""L'Oggetto Fisico ha un codice di Collocazione"" ";Oggetto Fisico;ha collocazione;Collocazione;crm:E22_Human-Made_Object;crm:P1_is_identified_by;crm:E42_Identifier;/;/
"""La Collocazione ha un Contenuto Testuale"" ";Collocazione;ha;Contenuto Testuale;crm:E42_Identifier;crm:P190_has_symbolic_content;xsd:string;/;/
"""La Collocazione è di tipo Tipo_1""";Collocazione;è di tipo;Tipo_1;crm:E42_Identifier;crm:P2_has_type;crm:E55_Type;/;aat: 300404704 (shelfmark)
"""L'Oggetto fisico ha delle dimensioni (es. altezza in cm)""";Oggetto fisico;ha dimensione;Dimensione_1;crm:E22_Human-Made_Object;crm:P43_has_dimension;crm:E54_Dimension;/;/
"""La Dimensione è di un tipo specifico (altezza, numero di pagine, tavole)""";Dimensione_1;è di tipo;Tipo dimensione;crm:E54_Dimension;crm:P2_has_type;crm:E55_Type;/;Ampiezza [aat:300055647], Altezza [aat:300055644], N. di Pagine [aat:300445022], Fotografie Commerciali [aat:300411474]
"""La Dimensione ha un valore numerico""";Dimensione_1;ha valore;Valore numerico;crm:E54_Dimension;crm:P90_has_value;xsd:decimal;/;/
"""La Dimensione in cm ha un'unità di misura""";Dimensione_1;ha unità di misura;Unità di Misura [cm];crm:E54_Dimension;crm:P91_has_unit;crm:E58_Measurement_Unit;/;Centimetri [aat:300379098]
"""L'Oggetto fisico è stato prodotto""";Oggetto fisico;è stato prodotto da;Evento di stampa;crm:E22_Human-Made_Object;crm:P108i_was_produced_by;crm:E12_Production;/;/
"""L'Evento di Produzione è di tipo Stampa""";Evento di Produzione;è di tipo;Stampa;crm:E12_Production;crm:P2_has_type;crm:E55_Type;/;Stampa tipografica [aat:300195853]
"""L'Evento di Stampa è stato eseguito da un Tipografo/Stampatore""";Evento di Stampa;è stato eseguita da;Tipografo_1;crm:E12_Production [Stampa];crm:P14_carried_out_by;crm:E39_Actor;/;/
"""Il Tipografo ha un nome""";Tipografo_1;ha nome;Nome_1 [Imprimerie Georges Petit];crm:E39_Actor;crm:P1_is_identified_by;crm:E41_Appellation;/;/
"""Il nome del Tipografo ha un contenuto testuale""";Appellation;contiene;Contenuto testuale;crm:E41_Appellation;crm:P190_has_symbolic_content;xsd:string;/;/
"""L'Evento di Stampa ha avuto luogo in una città""";Evento di Stampa;ha luogo di svolgimento;Luogo ;crm:E12_Production [Stampa];crm:P7_took_place_at;crm:E53_Place;/;/
"""Il Luogo di stampa è identificato da un nome""";Luogo ;è identificato da;Luogo_1 (Paris);crm:E53_Place;crm:P1_is_identified_by;crm:E41_Appellation;/;/
"""Il nome del Luogo ha un contenuto testuale""";Appellation;contiene;Contenuto testuale;crm:E41_Appellation;crm:P190_has_symbolic_content;xsd:string;/;/
"""L'Evento di Stampa ha avuto luogo in un anno""";Evento di Stampa;ha data;1913;crm:E12_Production [Stampa];crm:P4_has_time-span;crm:E52_Time-Span;/;/
"""Il Periodo ha una data di inizio""";Periodo;ha inizio;Data;crm:E52_Time-Span;crm:P82a_begin_of_the_begin;xsd:gYear;/;/
"""Il Periodo ha una data di fine""";Periodo;ha fine;Data;crm:E52_Time-Span;crm:P82b_end_of_the_end;xsd:gYear;/;/
