Frasi in NLP;Triplette in NLP;;;CIDOC CRM;;;Vocabolari esterni;;Application Profile - Evento
"""L'Identificativo ha un contenuto testuale""";ID;ha;Contenuto Testuale;crm:E42_Identifier;crm:P190_has_symbolic_content;xsd:string;/;/;
Ruoli nell'Evento;;;;;;;;;
"""L'Evento Asta si articola in un'insieme variabile di Sotto-Eventi""";Asta;consiste in;Sotto-Eventi;crm:E7_Activity [Asta];crm:P9_consists_of;crm:E7_Activity [Sottocategorizzazione_Asta];/;/;
"""I Sotto-Eventi sono di diversi tipi (es. battitura, vendita, assistenza)""";Sotto-Eventi;sono di tipologia;Tipologia_1;crm:E7_Activity [Sottocategorizzazione_Asta];crm:P2_has_type;crm:E55_Type ;/;"
zac:battitura
zac:vendita
zac:assistenza";
"""L’Attore ha partecipato al Sotto-Evento""";Sotto-Evento_1;ha partecipato;Attore_1;crm:E7_Activity [Sottocategorizzazione_Asta];crm:P14_carried_out_by;crm:E39_Actor;/;/;
“Il Ruolo dell’Attore nel Sotto-Evento è documentato (es. esperto, battitore, ecc.)”;Attribuzione_1;ha oggetto dell'attribuzione;Sotto-Evento_1;crm:E13_Attribute_Assignment;crm:P140_assigned_attribute_to;crm:E7_Activity [Sottocategorizzazione_Asta];/;/;
“L’Attore è il destinatario dell’Attribuzione”;Attribuzione_1;è destinatario di;Attore_1;crm:E13_Attribute_Assignment;crm:P141_assigned;crm:E39_Actor;/;/;
“Il Ruolo riguarda il partecipare all’Evento”;Attribuzione_1;è tipo proprietà assegnata;assegnazione;crm:E13_Attribute_Assignment;crm:P177_assigned_property_of_type;crm:P14_carried_out_by;/;/;
"""L'Attribuzione è di tipo [ruolo specifico""";Attribuzione_1;è di tipo;Ruolo_1;crm:E13_Attribute_Assignment;crm:P2_has_type;crm:E55_Type;/;"Responsabile asta/Auction houses [aat:300417515]
Battitore [aat:300412173]
Venditore [aat:300445696]
Assistente alla vendita [aat: 300448856]
Esperto [aat:300025829]
Committente [aat:300400903]
Notatio [aat:300025454]
Responsabile contabile [aat:300024982]";
"""L'Attribuzione ha come oggetto l'Evento Asta""";Attribuzione_1;ha come oggetto;Asta;crm:E13_Attribute_Assignment;crm:P140_assigned_attribute_to;crm:E7_Activity [Asta];/;/;
