index,num,title,text,catalogue_id,image_online
11,28,29,"28

29",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000121-p.%20%5B14%5D.jpg/full/max/0/default.jpg
12,30,31,"30

31

## TABLEAUX MODERNES

## LAPITO

Ecole frangaise

Sous-Bois.

'Paysage. Au bas d’une cote, un chemin defonce.

Toile, Haut.o.5o;Larg.0 36.

L.ROBBE

Paysage avec bestiaux.

Ane et vaches paissant dans une prairie pres des dunes de West-Flandre.

Toile.Haut.o-35;Larg.o.55.

DE MAERTELAERE

Etude de foret (Fontainebleau).

Toile.Haut.0.32;Larg. 0.28.

A.HEINS

Automne.

Sur un coin de table, recouvert en partie d'une etoffe, un bouquet de chrysanthemes s'échappe d'un vase marocain a decor emaille, une branche de houx marin, un livre entr'ouvert sur lequel fume un cigare.

Toile. Haut,o.75; Larg o.55.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000121-p.%20%5B14%5D.jpg/full/max/0/default.jpg
13,33,34,"33

34

Chien.

Petit chien ratier a poil fauve couche sur une chaise renaissance couverte de cuir dore.

Signe:ALBERT ToEFFAERT 1885.

Bois. Haut. o.32;Larg.0.23.

THEOPHILE DE BOCK

## Paysage hollandais.

Le long d'un canal, une grande route plantee d'arbres, au bord de laquelle se dresse une petite ferme. Prairies s'etendant a perte de vue. Au premier plan, un radeau fotte sur le canal ou poussent des ajoncs.

Signe:THEOPHILE DE BoCK.

Toile. Haut o.54; Larg.o.82

## LANGEROCK

Paysage.

Site accidente. Une mare entouree de rochers et ombragee d'arbres.

## ALBERT TOEFFAERT

Bois.Haut.o.25;Larg.o.30.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000122-p.%2015.jpg/full/max/0/default.jpg
14,36,37,"36

37

## L.DELPEREE

## Pourquoi pas?

Un moine blanc au froc frange par un long usage,a trouve, dans un atelier de peintre,une defroque de cardinal; il s'est coiffe du chapeau et s'est jete la cape sur les epaules. ll eut pu tout aussi bien endosser la robe qu'il tient a la main. Le Frater, se regardant dans une glace, semble dire: 《A quoi tiennent les dignites ecclesiastiques, le cardinalat m'irait-il donc si mal ?》

Signe:L. DELPEREE.

Bois. Haut.o.86;Larg.0.3o.

## MARTIN CAVEL.

## Un coin d'atelier chez Vollon.

Un fouillis d’accessoires de toute nature, jetes en desor-

Des livres, des armes,une guitare, des etoffes, des bouteilles,des chassis, forment un pittoresque ensemble,d'ou dre, encombre une table et ses abords.

emerge une tete de petite,fille brossee sur un petit panneau, d'apres Chardin ou Frans Hals.

Signe: F: MARTiN CAvEL, 《un coin de latelier de

Toile Haut.o.8o;Larg.1.oo.

## TH.LYBAERT.

## Die Moeder van Smerten.

La Vierge deja agee est en priere; un trait de feu place

Fond dore avec etoffe drapee a la partie inferieure.

a hauteur du cceur symbolise ses souffrances morales.

Execute dans le style des gothiques famands du xve siecle.

Signe : TH. LyBAERT, 1888.

Bois.Haut.o.38;Larg.0 24.

M.Vollon.》",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000131-p.%2016.jpg/full/max/0/default.jpg
15,38,39,"38

39",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000142-p.%2017.jpg/full/max/0/default.jpg
16,40,## L'Epave.,"40

## L'Epave.

La tempete a ramene pres de la cote une chaloupe de peche desemparee et vide. La lune se leve sur les fots encore agites. Un corbeau plane sur la rive.

Toile.Haut,o.35;Larg.o.55.

## A.ROSZMANN.

## Etude de jeune femme.

Buste de femme brune, se detachant énergiquement sur fond clair.

Toile.Haut. o.44;Larg.o 35.

## P.OYENS.

## Le Liseur.

Un homme, corpulent et sanguin,physionomie deja vue pour tous ceux qui connaissent les tableaux des freres Oyens, est assis dans un fauteuil et semble absorbe par une attachante lecture; il est coiffe d'un berret rouge a galons noirs.

Bois. Haut.o.37;Larg.o 30,

FELIX DE BAERDEMAECKER.

## Ferme pres de Dinant.

Dans un site ombrage de bouquets d''ormes, de vieilles constructions se dressent pres d'un ruisseau.

Signe:FELIX DE BAERDEMAECKER.

Toile.Haut.o.5o;Larg.o.75.

## ARTAN.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000142-p.%2017.jpg/full/max/0/default.jpg
17,42,43,"42

43",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000151-p.%2018.jpg/full/max/0/default.jpg
18,44,45,"44

45

## THEOPH.VAN RYSSEBERGHE.

## Bedouin au repos.

Un Bedouin,tenant son fusil a deux mains,est assis sur un tapis. Accessoires divers.

Toile.Haut. o.4o;Larg.0.46.

## R.WYTSMAN.

## Dans les dunes.

Large etendue de dunes, vers le soir, en automne.

Toile.Haut 1.oo;Larg.1.50.

## F.RINGEL.

## L'Echo du Parlement.

Un joyeux gavroche,accoutre d'une camisole rouge et la gibeciere a journaux en sautoir, crie a tue-tete: L'Echo du Parlement pour demain! La naivete de cette figure populaire, l'entrain de cet auxiliaire inconscient de la politique, ont éte saisis sur le vif par l'artiste.

Signe.: F.RINGEL,1874.

Toile. Haut, o.7o; Larg. o.8o.

## V.SIMMLER.

## Braconniers surpris.

La scene, qui pourrait aisement tourner au drame, se passe au fond d'un bois roussi par la chute des feuilles. Deux robustes gars de la campagne,la face maquillee de suie, ont conquis un chevreuil, mais sans doute, leurs coups de fusil ont donne léveil aux gardes; au loin apparait un chien de chasse.

Les maraudeurs s'arretent, aux aguets. L'un d'eux, en blouse, tient le chevreuil; l'autre,pieds nus,a jete habit bas, il a le fusil en arret, dans sa poche un large couteau pret a servir. Comment se terminera cette emouvante rencontre?

Toile.Haut.o 8o;Larg. 1.10.

Signe:V. SIMMLER,Ddf.,1874.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000151-p.%2018.jpg/full/max/0/default.jpg
19,46,47,"46

47",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000152-p.%2019.jpg/full/max/0/default.jpg
20,49,## Fleurs.,"49

## Fleurs.

Bouquet touffu de chrysanthemes s'échappant d'un rustique vase de terre; a cote, sur un coin de table, un plateau en porcelaine blanche renfermant une peche et des grappes de raisin blanc et noir.Elements fort simples qui ont suffi a l'artiste pour creer une jolie ceuvre, dans le gout de Chardin.

Signe:V.DUBOURG,1873.

Toile,Haut,0.47;Larg.0.40,

## F.MASSON.

## VICTORIA DUBOURG.

## Crepuscule.

Deux jeunes femmes sont assises dans un site boise. Une troisieme, debout, écoute l'Amour qui lui fait une ceinture de ses bras.

Signe : F. MAssON.

## R.WYTSMAN.

## Paysage d'italie.

Terrain mouvemente ou, parmi de larges pans de talus gazonnes, se montrent des fondrieres. Montagnes a l'horizon.

Signe:R.WYTSMAN-MoRINO,1883.

Toile. Haut. 1.oo;Larg. 1.35.

## LE MEME.

Fleurs.

Roses-the et violettes.

Bois,Haut,o.35;Larg.o.30.

Haut.0.20;Larg. 0.27.",documents/BO0624_83643,http://137.204.64.39/image/iiif/3/BO0624_83643!BO0624_83643_000152-p.%2019.jpg/full/max/0/default.jpg
