ZERI,variants,new
,"d'etoffes et de broderies en velours, en brocatelle,en soie, etc",True
,"d'objets divers, antiques et de diverses époques plus recentes, tels que:bronzes,bagues,fbules,boucles,agrafes,plaquettes,montures de meubles et de reliures, colliers de pierreries diverses, etc",True
,"de sept couteaux a manches en ivoire, en corne, en nacre et en fer forge",True
,de neuf clefs en fer forge dont une pour arquebuse,True
,des allerhochsten osteyreichischen Kaiserhauses,True
,"d'étoffes diverses; velours, soie, broderies,etc",True
,de specimens d'un beau dessin et d'un beau coloris,True
,de M,True
,Mylius,True
,Castellani,True
,du Grand- Duc de Toscane,True
,D'Erlach de Berne),True
,du prince Demidoff,True
,tres rares,True
,of Fairfax Murray,True
,"Lamps,etc",True
,L,True
,C,True
,"et un petit dessin representant un Guerrier, par Polidoro da Caravaggio",True
,di n,True
,"di circa trecentocinquanta orchidee,fra le piu importanti da notarsi:Vanda Battemanni,Rhenanthera Lobi,Angrelum Jesquipedale,Aerides Laurenciana,Cymbidium Lobianum,Cassleya Trianae,ecc",True
,"de dessins et estampes du XVI et XVII siecle,dans une cou verture de livre en cuir avec dorure a petits fers du XVIl siecle",True
,in Rome,True
,"and represented Titian drawing, with one hand holding a portfolio and with the other a pencil",True
,del duca Melzi d'Eril,True
,Hauptmann a Paris,True
,Dreyfus a Paris et a ceux du musee de Berlin (Cat,True
,"of Poems, 1748, etc",True
,of all publicke ordinances and declarations of both Houses of Parliament                                                 |,True
,"of shells and polished pebbles, 2 small microscopes,and a magnifying glass |",True
,of F,True
,1890,True
,of C,True
,From the Collection of W,True
,of W,True
,"of Mezzotints,Photographs of Italian Scenes, Engravings, etc",True
,"of Autograph Letters; purple morocco,gilt and blind tooled, g",True
,of Auto,True
,including notes of rhymes(e,True
,de Clavier Compositionen herausgegeben von F,True
,"of British Authors, Tauchnitz Edition,Vol",True
,"of Old Plays, vol",True
,"of Letters,18471855,portrait and illustrations,1887 imp",True
,An,True
,of about One Hundred small Engravings by,True
,"of graph signature of""Robert Browning""on title,old calf, broken",True
,"of Essays on Greek Poetry, Philosophy, History and Religion,edited by E",True
,"by Henry James,2 vol",True
,"of a First Visit to the Alps in August and September,1841,""Robert Browning,Esq",True
,"of the last Days of Shelley and Byron, portrait,autograph signature of ""Robert Browning""on half-title, and note by him inside cover sm",True
,"of the History of England, autograph signature of ""Robert Browning""on fy-leaf,calf, broken folio",True
,of Interesting,True
,"of Autograph Letters; purple morocco, gilt and blind tooled, g",True
,"of a Literary Life"" Miss Mitford has left an interesting account of her first meeting with Miss Barrett in 1836, and fromthatdatetillthe deathoftheelderladyin1855thetwo were on terms of intimate friendship",True
,including notes of rhymes (e,True
,"of about One Hundred small Engravings by Hogarth,mounted in 1 vol",True
,"of Original Poems,with several New Translations,frontispiece,autograph signature of ""Robert Browning""on title, old calf, broken 8v0",True
,"of Essays on Greek Poetry, Philosophy, History and Religion, edited by E",True
,"by Henry James,2vol",True
,"of the last Days of Shelley and Byron, and notebyhim insidecover sm",True
,"of the History of England, autograph signature of""Robert Browning""on fy-leaf, calf, broken folio",True
,"of Interesting Fragments in Prose and Verse, 2vol",True
,"of King LouisPhilippe,1853 in",True
,1859,True
,"ofDavid Garrick,1823 From the Collection of Sir Henry Irving,1905",True
,"of Sir Henry Irving,1905",True
,"1897 Echibited at the Echibition of Spanish Old Masters, Grafton Galleries,1913-14",True
,"of ethnological and other specimens, comprising a number of minerals and cut stones, a model of a gondola, etc",True
,"of marine,entomological and other natural history specimens,with antlers and bones from prehistoric burials",True
,"of corals, containing many large",True
,"of ORES AND MINERALs, contained in oak cabinet,with glazed doors,marble ledge and 21 drawers under,8ft",True
,"of mineral specimens in glazed case, a pair of stag-horn candlesticks,a stag's foot,a wood spoon,and 7small ornaments",True
