URI,label,type,wikidata_id,wikidata_label,wikidata_description,match_type
http://w3id.org/zac/impresa_di_vendite_galardelli_e_mazzoni,Impresa di vendite Galardelli e Mazzoni,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galleria_di_antichita_e_casa_di_vendite_a_rambaldi,Galleria di antichità e casa di vendite A. Rambaldi,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/molinier_emile,"Molinier, Émile",http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q103958617,"Molinier, Emile",encyclopedia article,label
http://w3id.org/zac/jourdain_and_paringaux,Jourdain & Paringaux,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/gebr_krause,Gebr. Krause,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galleria_giuseppe_giacomini,Galleria Giuseppe Giacomini,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/heinrich_knölke,Heinrich Knölke,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/anton_creutzer,Anton Creutzer,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/museum_alt-deutschland,Museum Alt-Deutschland,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/fleischmanns_hofkunsthandlung,Fleischmann's Hofkunsthandlung,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/lempertz,Lempertz,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q83369965,Lempertz,family name,label
http://w3id.org/zac/galeries_durand-ruel,Galeries Durand-Ruel,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/forrer_robert,"Forrer, Robert",http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/casa_di_vendite_jandolo_and_tavazzi,Casa di vendite Jandolo & Tavazzi,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/helbing_hugo,"Helbing, Hugo",http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/casa_di_vendite_corvisieri,Casa di vendite Corvisieri,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/casa_di_vendite_luigi_battistelli,Casa di vendite Luigi Battistelli,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/k_a_stauff_and_cie,K. A Stauff & C.ie,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/gesellschaft_für_kunst_und_litteratur,Gesellschaft für Kunst und Litteratur,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/casa_di_vendite_s_innocenti,Casa di vendite S. Innocenti,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/casa_di_vendite_jandolo_and_tavazzi__galleria_sangiorgi,Casa di vendite Jandolo & Tavazzi || Galleria Sangiorgi,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galerie_frederik_muller_and_cie,Galerie Frederik Muller & C.ie,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galerie_frederik_muller_and_cie,Galerie Frederik Muller & C.ie,http://www.cidoc-crm.org/cidoc-crm/E21_Person,,,,
http://w3id.org/zac/knight_frank_and_rutley,"Knight, Frank & Rutley",http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/tizzoni_c,"Tizzoni, C.",http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/christie_manson_and_woods,"Christie, Manson & Woods",http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q503176,Christie's,art business and fine arts auction house,alias
http://w3id.org/zac/kunstauktionshaus_gebrüder_heilbron,Kunstauktionshaus Gebrüder Heilbron,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/ant_creutzer_vorm_m_lempertz,Ant. Creutzer vorm. M. Lempertz,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/keller_and_reiner,Keller & Reiner,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/casa_di_vendite_lino_pesaro,Casa di vendite Lino Pesaro,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/galerie_manzi_joyant_and_cie,Galerie Manzi Joyant & Cie.,http://www.cidoc-crm.org/cidoc-crm/E74_Group,,,,
http://w3id.org/zac/felix_fleischhauer,Felix Fleischhauer,http://www.cidoc-crm.org/cidoc-crm/E74_Group,Q133083565,Felix Fleischhauer,,label
http://w3id.org/zac/felix_fleischhauer,Felix Fleischhauer,http://www.cidoc-crm.org/cidoc-crm/E21_Person,Q133083565,Felix Fleischhauer,,label
