catalogue_id,chunk_db_id,chunk_id,num,title,matched_line,match_score,low_confidence,entity_match_method,artist,school,object_type
BO0624_83730,16028,1,1,"Callet, D'apres A. Portrait du cardinal de Bernis.",20.0,63.5,False,positional,,,GRAVURES
BO0624_83730,16029,2,2,Poilly. Portrait de Michel Le Tellier.,24.0,76.9,False,positional,,,GRAVURES
BO0624_83730,16030,3,3,"PRUD'HON, D'apres. L'Amour enchaine.",,59.3,True,title_direct,PRUD'HON,,
BO0624_83730,16031,4,4,"LANCRET, D'apres N. Le Repas italien.",35.0,63.2,False,title_direct,LANCRET,,
BO0624_83730,16032,5,5,"LANCRET, D'apres N. L'Adolescence.",41.0,66.7,False,title_direct,LANCRET,,
BO0624_83730,16033,6,6,"LANCRET, D'apres N. Les Remois.",,52.2,True,title_direct,LANCRET,,
BO0624_83730,16034,7,7,"WATTEAU, D'apres A. L'Amante inquiete.",,59.0,True,title_direct,WATTEAU,,
BO0624_83730,16035,8,8,"WATTEAU, D'apres A. Le Teste-a-Teste.",55.0,65.5,False,title_direct,WATTEAU,,
BO0624_83730,16036,9,9,"WATTEAU, D'apres A. La Finette.",58.0,66.7,False,title_direct,WATTEAU,,
BO0624_83730,16037,10,10,"WATTEAU, D'apres A. L'Indifferent.",79.0,63.2,False,title_direct,WATTEAU,,
BO0624_83730,16038,11,11,"WATTEAU, D'apres A. La Sultane.",85.0,66.7,False,title_direct,WATTEAU,,
BO0624_83730,16039,12,12,"WATTEAU, D'apres A. Les Comediens italiens.",,51.5,True,title_direct,WATTEAU,,
BO0624_83730,16040,13,13,"WATTEAU, D'apres A. La Danse paysanne.",,55.7,True,title_direct,WATTEAU,,
BO0624_83730,16041,14,14,"WATTEAU, D'apres A. Diane au bain.",,59.6,True,title_direct,WATTEAU,,
BO0624_83730,16042,15,15,"WATTEAU, D'apres A. L'Amour au Theatre-Francais.",,57.4,True,title_direct,WATTEAU,,
BO0624_83730,16043,16,16,"WATTEAU, D'apres A.  L'Amour au Theatre-Italien.",,54.7,True,title_direct,WATTEAU,,
BO0624_83730,16044,17,17,"WATTEAU, D'apres A. Le Concert italien.",,58.8,True,title_direct,WATTEAU,,
BO0624_83730,16045,18,18,"WATTEAU, D'apres A. Les Charmes de la Vie.",,57.8,True,title_direct,WATTEAU,,
BO0624_83730,16046,19,19,"WATTEAU, D'apres A. Le Passe-Temps.",100.0,62.1,False,title_direct,WATTEAU,,
BO0624_83730,16047,20,20,"WATTEAU, D'apres A.  La Perspective.",104.0,62.1,False,title_direct,WATTEAU,,
BO0624_83730,16048,21,21,"WATTEAU, D'apres A. L'Accordee de Village.",,58.5,True,title_direct,WATTEAU,,
BO0624_83730,16049,22,22,"WATTEAU, D'apres A.  La Cascade.",108.0,63.0,False,title_direct,WATTEAU,,
BO0624_83730,16050,23,23,"WATTEAU, D'apres A. L'Ile enchantee.",,57.6,True,title_direct,WATTEAU,,
BO0624_83730,16051,24,24,"WATTEAU, D'apres A. Les Plaisirs du Bal.",,54.0,True,title_direct,WATTEAU,,
BO0624_83730,16052,25,25,"WATTEAU, D'apres A. L'Embarquement pour Cythere.",125.0,64.1,False,title_direct,WATTEAU,,
BO0624_83730,16053,26,26,"WATTEAU, D'apres A.  L'Enseigne.",127.0,66.7,False,title_direct,WATTEAU,,
BO0624_83730,16054,27,27,"LARGILLIERE, D'apres N. De. Portrait de Mlle Duclos.",133.0,62.7,False,positional,WATTEAU,,
BO0624_83730,16055,28,28,"NATTIER, D'apres. Marie, princesse de Cologne, reine de France et de Navarre.",,57.6,True,title_direct,NATTIER,,
BO0624_83730,16056,29,29,"RIGAUD, D'apres H. Portrait de Girardin de Vauore.",145.0,63.6,False,title_direct,RIGAUD,,
BO0624_83730,16057,30,30,"RIGAUD, D'apres H. Portrait de Francois de Montmorency, duc de Luxembourg.",149.0,63.8,False,title_direct,RIGAUD,,
BO0624_83730,16058,31,31,"RIGAUD, D'apres H. Jean-Baptiste Colbert.",156.0,67.7,False,title_direct,RIGAUD,,
BO0624_83730,16059,32,32,"RIGAUD, D'apres H. Portrait de Louis de Boullongne.",162.0,63.0,False,title_direct,RIGAUD,,
BO0624_83730,16060,33,33,"RIGAUD, D'apres H. Portrait de Philbert Orry.",,53.1,True,title_direct,RIGAUD,,
BO0624_83730,16061,34,34,"RIGAUD, D'apres H. Mme Le Bret de la Briffe.",170.0,67.6,False,title_direct,RIGAUD,,
BO0624_83730,16062,35,35,"RIGAUD, D'apres H. Portrait de la duchesse de Nemours.",176.0,67.8,False,title_direct,RIGAUD,,
BO0624_83730,16063,36,36,"RIGAUD, D'apres H. Portrait de Samuel Bernard.",180.0,66.7,False,title_direct,RIGAUD,,
BO0624_83730,16064,37,37,"TAUNAY, D'apres. Noce de village.",184.0,60.7,False,title_direct,TAUNAY,,
BO0624_83730,16065,38,38,"TAUNAY, D'apres. Foire de village.",185.0,62.1,False,title_direct,TAUNAY,,
BO0624_83730,16066,39,39,"DEBUCOURT, Par et d'apres.  Les Bouquets ou la Fete de la Grand'Maman.",196.0,71.2,False,title_direct,DEBUCOURT,,
BO0624_83730,16067,40,40,"DEBUCOURT, Par et d'apres. Le Compliment ou la·Matinee du Jour de l'An.",197.0,61.9,False,title_direct,DEBUCOURT,,
BO0624_83730,16068,41,41,"JANINET, Par et d’apres. Marie-Antoinette d'Autriche, reine de France et de Navarre. mprimee en couleur.",204.0,63.1,False,title_direct,JANINET,,
BO0624_83730,16069,42,42,"HOPPNER, D'apres. Sophia Western.",212.0,61.8,False,title_direct,HOPPNER,,
BO0624_83730,16070,43,43,"HOPPNER, D'apres. Mrs Benwell.",216.0,64.0,False,title_direct,HOPPNER,,
BO0624_83730,16071,44,44,"REYNOLDS, D'apres sir JosHUA. The Honorable Mrs Stanhope.",223.0,62.9,False,title_direct,REYNOLDS,,
BO0624_83730,16072,45,45,"WARD, Par et d’apres. Louisa.",229.0,76.0,False,positional,REYNOLDS,,
BO0624_83730,16073,46,46,"BLOOT, PIERRE DE. Paysans au repos.",239.0,63.2,False,positional,,,DESSINS
BO0624_83730,16074,47,47,"EISEN, CHARLES. L'Ouie.",245.0,68.4,False,title_direct,EISEN,,
BO0624_83730,16075,48,48,"EISEN, CHARLES. La Danse. La Tragédie.",,46.4,True,title_direct,EISEN,,
BO0624_83730,16076,49,49,"EISEN, CHARLES. Suite de huit compositions pour illustrer les, Contes de La Fontaine (1762)",260.0,84.7,False,title_direct,EISEN,,
BO0624_83730,16077,50,50,"LE PRINCE, J.-B. La Peche.",280.0,65.2,False,title_direct,LE PRINCE,,
BO0624_83730,16078,51,51,"MOREAU LE JEUNE, J.M. Composition pour illustrer Les A-propos de Societe, par Laujon.",291.0,85.1,False,title_direct,MOREAU LE JEUNE,,
BO0624_83730,16079,52,52,"PRUD'HON, P.P. L'Industrie.",297.0,60.9,False,title_direct,PRUD'HON,,
BO0624_83730,16080,53,53,"SAINT-AUBIN, GABRIEL DE. La Venus de M. Mignot au Salon de 1757.",317.0,69.2,False,title_direct,SAINT-AUBIN,,
BO0624_83730,16081,54,54,"SAINT-AUBIN, GABRIEL DE. Composition religieuse.",,53.3,True,title_direct,SAINT-AUBIN,,
BO0624_83730,16082,55,55,"WATTEAU, LouIs. Villageois buvant, chantant ou dansant aux portes d’une auberge.",342.0,88.4,False,title_direct,WATTEAU,,
BO0624_83730,16083,56,56,ECOLE FRANCAISE. Figures de Femmes drapees a lantique.,348.0,81.3,False,title_direct,,ECOLE FRANCAISE,
BO0624_83730,16084,57,57,Nattier. Portrait presume de Mme de Chateauroux.,357.0,84.8,False,positional,,,TABLEAUX
BO0624_83730,16085,58,58,"POURBUS, D'apres. Portrait d'une Jeune Dame de qualite.",367.0,78.4,False,title_direct,POURBUS,,
BO0624_83730,16086,59,59,"Soupiere avec son couvercle en ancienne faience de Lorraine, decoree de fleurs en couleurs. et de guirlandes en bleu;bouton de couvercle en forme de poisson.",372.0,98.4,False,positional,,,FAIENCES; PORCELAINES
BO0624_83730,16087,60,60,Fontaine-applique avec couvercle et bassin en ancienne faience de Marseille; decor en camaieu vert avec rehauts de rose :personnages et paysages.,377.0,80.5,False,positional,,,FAIENCES; PORCELAINES
BO0624_83730,16088,61,61,"Petit cornet de pharmacie, decor de rinceaux.",381.0,92.8,False,positional,,,FAIENCES; PORCELAINES
BO0624_83730,16089,62,62,"Quatre fourchettes a poignees d'ancienne faience de Moustiers, decor bleu.",386.0,67.8,False,positional,,,FAIENCES; PORCELAINES
BO0624_83730,16090,63,63,"Sept couteaux a manches d'ancienne porcelaine variee, decor bleu.",388.0,94.9,False,positional,,,FAIENCES; PORCELAINES
BO0624_83730,16091,64,64,"Deux petits cornets cylindriques, decor bleu: personnages. Ancienne porcelaine de Chine.",389.0,96.2,False,positional,,,FAIENCES; PORCELAINES
BO0624_83730,16092,65,65,"Coupe-coquille : vases et attributs. Ancienne porcelaine de Chine, famille verte.",393.0,69.2,False,positional,,,FAIENCES; PORCELAINES
BO0624_83730,16093,66,66,Paire de potiches avec couvercles en ancienne porcelaine de Chine,397.0,78.6,False,positional,,,FAIENCES; PORCELAINES
BO0624_83730,16094,67,67,Petit buste en ancien biscuit : Louis XV revetu de l'armure.,402.0,85.7,False,positional,,,FAIENCES; PORCELAINES
BO0624_83730,16095,68,68,"Paire de flambeaux en argent, decores sur la tige de mascarons et sur la base d'un rang de petits godrons et d'un cordon d'oves. Epoque Régence.",406.0,97.6,False,positional,,,ARGENTERIE
