catalogue_id,chunk_db_id,chunk_id,num,title,matched_line,match_score,low_confidence,entity_match_method,artist,school,object_type,collection,period
BO0624_83766,131666,1,1,"Trois pommes d'amortissement, de forme contournee et a trois pans, en bronze, a decor de rocailles et de rubans. Epoque Louis XV.",15,100.0,False,positional,,Periodo di Luigi XV,OBJETS D'ART,,
BO0624_83766,131667,2,2,Bougeoir en ancien celadon bleu-turquoise de la Chine; monture en argent a branchages et moulures du temps de la Regence.,19,99.2,False,positional,,,OBJETS D'ART,,
BO0624_83766,131668,3,3,"Deux petits vases cylindriques ajoures en ancien celadon bleu-turquoise de la Chine; collerettes egalement ajourees, garnitures de couvercles et bases a pieds-de-biche en bronze dore, du temps de Louis XVI.",23,99.5,False,positional,,,VASI,,
BO0624_83766,131669,4,4,"Vase en ancienne porcelaine de Saxe, orne de deux reserves a sujets galants, sur fond seme de fleurettes. Il est monte en aiguiere,en bronze cisele et doré, a decor de feuillages et de rocailles. Epoque Louis XV.",27,99.5,False,positional,,Periodo di Luigi XV,VASI,,
BO0624_83766,131670,5,5,"Deux jardinieres carrees, plaquees dacajou et garnies d'appliques en bronze dore, sur fond vert,a [decor de vases de fleurs, animaux et rinceaux. Epoque Louis XVI.",31,99.4,False,positional,,,LAMPADE,,
BO0624_83766,131671,6,6,"Ecuelle,avec plateau et couvercle, en ancienne porcelaine tendre de Sevres a decor de quadrilles et de coquilles, relies par des rubans et enguirlandes de fleurs. Annee 1762.",34,99.7,False,positional,,,OBJETS D'ART,,Sec. XVIII
BO0624_83766,131672,7,7,"Necessaire forme de plaques d'agate blonde herborisee; monture en or cisele, a fleurs et rocailles, avec figure de chamois dans un angle. ll contient deux petits flacons a bouchons dor, une petite cuiller et un miroir a monture d'or, decore d'un joueur de cornemuse, ainsi que quelques ustensiles d'acier. Epoque Louis XV.",38,99.7,False,positional,,Periodo di Luigi XV,BOTTIGLIE,,
BO0624_83766,131673,8,8,"Statuette en ivoire sculpte:la Vierge, debout, vetue d'une ample draperie, la tete couverte d'un voile. Elle portait 1Enfant Jesus, dont il ne reste que la partie inferieure du corps. France. Commencement du xive siecle.",42,99.5,False,positional,,,OBJETS D'ART,,
BO0624_83766,131674,9,9,"Statuette en pierre sculptee de sainte femme, debout, vetue d'une ample tunique retenue par une ceinture et recouverte d'un long manteau. Elle est coiffee d'une couronne et porte les cheveux longs denoues. France. Commencement du xiv siecle.",46,99.4,False,positional,,,OBJETS D'ART,,
BO0624_83766,131675,10,10,"Statuette en terre cuite : Moise, debout, presentant les tables de la loi au peuple.Par Bouchardon. Signee.",50,98.5,False,positional,,,OBJETS D'ART,,
BO0624_83766,131676,11,11,"Buste en terre cuite, grandeur nature, de personnage portant la perruque, la tete tournee vers l'epaule gauche,et vetu d'un habit laissant apercevoir une chemise brodee. Par Pajou; signe et date 1768. Piedouche en marbre.",54,99.3,False,positional,,,OBJETS D'ART,,Sec. XVIII
BO0624_83766,131677,12,12,"Pendule en bronze dore et marbre blanc : mouvement apparent, surmonte de rinceaux et d'oiseaux, et supporte par deux cygnes poses sur une tablette ovale que soutiennent deux amours. Base quadrilobee. Epoque Louis XVI.",58,99.3,False,positional,,,OBJETS D'ART,,
BO0624_83766,131678,13,13,"Pendule a cage en bronze dore, a decor de draperies, branches de laurier, moulures et denticules; cadran emaille presentant les signes du Zodiaque et execute par Coteau, signe. Le balancier, ceuvre du meme artiste, est egalement orne d'une peinture sur émail:amour tenant une lunette et assis aupres d'une sphere. Mouvement signe Robin, horloger du roy. Epoque Louis xVI.",61,99.6,False,positional,,,OBJETS D'ART,,
BO0624_83766,131679,14,14,"Horloge a gaine en marqueterie de bois de violette a quadrilles, enrichie de bronzes ciseles: encadrements et chutes a fleurs et rocailles, mascaron et petit cartouche. Epoque Louis xv.",65,99.2,False,positional,,Periodo di Luigi XV,OGGETTI IN LEGNO,,
BO0624_83766,131680,15,15,"BOUCHER, FRANCOIS. 1703-1770. Les Bulles de savon.",80,58.5,False,title_direct,BOUCHER,,,,Sec. XVIII
BO0624_83766,131681,16,16,"LATOUR, MAURICE QUENTIN DE. 1704-1788. Portrait d'homme.",93,59.6,False,title_direct,LATOUR,,,,Sec. XVIII
BO0624_83766,739983,17,17,"PERRONNEAU, JEAN-BAPTISTE. 1715-1783. Portrait presume de la marquise d Anglure.",110,70.1,False,title_direct,PERRONNEAU,,,,Sec. XVIII
BO0624_83766,739984,18,18,Reynolds. 1723-1792. Portrait du poet Robert Merry.,131,76.5,False,positional,REYNOLDS,,,,Sec. XVIII
BO0624_83766,739985,19,19,Ecole Francaise. XVIII siecle. Le Parc.,137,58.8,False,positional,,ECOLE FRANCAISE,,,Sec. XVIII
BO0624_83766,739986,20,20,Le Maitre de l'autel de Saint-Barthelemy.,140,98.7,False,positional,LE MAITRE DE LAUTEL DE SAINT-BARTHELEMY,,,,
