catalogue_id,chunk_db_id,chunk_id,num,title,matched_line,match_score,low_confidence,entity_match_method,artist,school,object_type,collection,period
BO0624_5750,377933,1,1,"FLORENTINE SCHOOL. XV CENTURY. MADONNA AND CHILD WITH SAINTS. The enthroned Madonna, hooded and robed in crimson and blue, with the fully clothed Child upon her lap. On the left is St. John the Baptist, and to the right St. Anthony.  Panel:Height,14/ inches; width, 9 inches.",7,77.1,False,title_direct,,FLORENTINE SCHOOL,,,Sec. XV
BO0624_5750,377934,2,2,"ANDREA PREVITALI  Worked between 1502 and 1525, first emulating the style of Giovanni Bellini, and afterwards that of Lotto. A HOLY BISHOP (SAINT AUGUSTINE?). Seated,in an attitude of benediction,between Saint Mark and Saint Anthony; the three figures seen at half-length.    This is a very fine example of the master's work, being of his advanced period, and revealing the ecstatic emotions produced by the paintings of Giambellino supplemented by an animation inspired by Lorenzo Lotto. The picture is in a good state of preservation.",19,40.1,False,title_direct,ANDREA PREVITALI,,,,Sec. XVI
BO0624_5750,377935,3,3,"MICHELE MARIESCHI  VENETIAN:1696—1743. LANDSCAPE. Fantastic view. In the middle distance a domed arcaded temple, having on the left prominent hills, and a facade of architectural distinction; to the right, a river running from a mountainous source which is enveloped in a filmy haze. In the foreground are various small figures, those standing by the fallen tree gorgeously robed, the ing the river. A delightful work of charming atmosphere and perspective.  Height,29 inches;length,38 inches.",30,90.7,False,title_direct,MICHELE MARIESCHI,Scuola Veneziana,,,Sec. XVII
BO0624_5750,377936,4,4,"MICHELE MARIESCHI  VENETIAN:1696—1743. LANDSCAPE. Fantastic view. To the right is a ruined Romanesque-Renaissance structure having fine Corinthian pillars and capitals, which are overgrown with ivy; in the middle distance, the river fowing under a somewhat dilapidated bridge; on the near bank are various small figures of armored warriors; on the far bank, undulating landscape; a partly ruined arc, and on the summit of the hill a fortified chateau. An imaginative work portrayed in brilliant colors.  Height,29 inches;width,38 inches.",40,91.7,False,title_direct,MICHELE MARIESCHI,Scuola Veneziana,,,Sec. XVII
BO0624_5750,377937,5,5,"MARCO D'OGGIONO  Born at Oggiono about 147o, a follower of Leonardo da Vinci. Died at Milan about 1549. ST.STEPHEN AND ST. BONAVENTURA (Two Panels) ;A.Venturi,La Galleria Crespi di Milano,Hoepli,90o,",45,60.8,False,title_direct,MARCO D'OGGIONO,,,,Sec. XVI
BO0624_5750,377938,6,6,"FLORENTINE SCHOOL  FIRST HALF XV CENTURY. MADONNA AND CHILD. Half-length figure of the Virgin Mother, holding the almost nude Infant in her arms. The background depicts a primitive landscape. In a fine state of preservation.  Panel: Height,20 inches; width,15 inches.  (Illustrated)",65,74.5,False,title_direct,,FLORENTINE SCHOOL,,,Sec. XV
BO0624_5750,377939,7,7,"VENETIAN SCHOOL XV-XVI CENTURY. ENTHRONED MADONNA 1531. Robed in a green-blue mantle. Seated on her lap is the fully draped divine Infant holding an apple, and naively surveying the bird perched upon His Mother's hand. Signed, Marcus Pinxit. In a beautifully carved tabernacolo frame of the period.  Panel:Height,37/inches;width,201/inches.",74,83.4,False,title_direct,,VENETIAN SCHOOL XV-XVI CENTURY,,,Sec. XVI
BO0624_5750,377940,8,8,"BERNARDO DA PARENZO  (CALLED PARENTINO) 1437-1531. HISTORICAL SUBJECT. The incident represents a woman before a judge. In the foreground istic energy of this master. A distant vista of charming landscape adds effectively to this excellent small work.  Height,15 inches;length,20 inches.",85,77.9,False,title_direct,BERNARDO DA PARENZO,,,,Sec. XV
BO0624_5750,377941,9,9,"GIOVANNI DAL PONTE  Florentine: Active in the first half of the XVth Century. He was influenced by Masaccio (plastic quality) and by Lorenzo Monaco (Gothicism). MADONNA AND CHILD WITH SAINTS. The ethereal Madonna enthroned, hooded and robed in a crimson tunic with a deep blue mantle, supporting the semi-draped Child Who plays with a bird; on the left is St. Bartolomeo in a crimson Order.  Panel:Height,26 inches; width,131 inches.",94,63.4,False,title_direct,GIOVANNI DAL PONTE,Scuola Fiorentina,,,
BO0624_5750,377942,10,10,"BARTOLOMEO VIVARINI  Born at Murano, 143o. Brother of Antonio and Alvise Vivarini, who were also painters, but of a very different temperament. Bartolomeo belongs to the great company of followers of Squarcione of Padua. Many of his paintings are dated (second half of the fifteenth century).Died 1499. PIETA. Christ is seen emerging from the tomb, bearing the signs of the Passion..In the background the cross is seen, and at the sides, two angels appear in the clouds, kneeling in prayer. The painting might have formed the base of a picture,but its dimensions permit its being considered an independent work. In an excellent state of preservation. Panel:Height,19 inches; length,29 inches.  The Collection of Gount Albani, Bergamo.  See: A.Venturi, ""La Galleria Crespi di Milano,"" page 55, etc.; Lionello Venturi, ""Le Origini della Pittura Veneziana page 182,etc.",103,57.1,False,title_direct,BARTOLOMEO VIVARINI,Scuola di Murano,,COLLEZIONE DEL CONTE ALBANI,Sec. XV
