catalogue_id,chunk_db_id,chunk_id,num,title,matched_line,match_score,low_confidence,entity_match_method,artist,school,object_type
BO0624_44452,230518,1,1,3 Schriftscheiben.Joh.Simen A. C.1657.— M.Hinderich Blome Schmit z. Embsteke 1681. —Diederich Meyer z. Embsteke 1681.,46.0,96.6,False,positional,,,Glasgemalde; Kunstgegenstande
BO0624_44452,230519,2,2,"2 Bauernscheiben. Ein Wappen mit Hirsch, Joh. Fohne Mohrvoegt A. 1707.— Reiter Wilcken Poppe mit Frau A. 1707.",47.0,72.4,False,positional,,,Glasgemalde; Kunstgegenstande
BO0624_44452,230520,3,3,"Schriftscheibe in Kartuche. H: Johan von Schorlemer. Thum Probst zu Minden. Thum Her zu Ossnab. Probst z. S. Johann, 1615.",49.0,98.8,False,positional,,,Glasgemalde; Kunstgegenstande
BO0624_44452,230521,4,4,"Schriftscheibe aus 9 Sticken. H. Benedict von Bahlen Tumher z.0snab.1659.—J Jodoco Ortman Commissario z. S. Johan 1651. H. Johan Keidenrich von Vorden Senior z. Osnab. 1659. — Hendricus Veltkamp 1676. 一 Heinrich Ryebeneke 1663.-- Johan Tolke 1676.— Catharina Elisabeth Schorlemmers 1687. — H. Robanus Heisterman Thumher z. Lubeck 1648.  Hohe 49, Breite 40cm.",50.0,99.6,False,positional,,,Glasgemalde; Kunstgegenstande
BO0624_44452,230522,5,5,"- Ovales Wappen. Auf weissem Grunde und gelbem Rand das Wappen Martin v. Benkendorff zu Salzwedel anno 1651. Hohe 16, Breite 12cm.",52.0,100.0,False,positional,,,Glasgemalde; Kunstgegenstande
BO0624_44452,230523,6,6,"Ovales Wappen. Hans Rohen, schon gemaltes, roth. Hohe 15, Breite 11 1/2 cm.",53.0,90.1,False,positional,,,Glasgemalde; Kunstgegenstande
BO0624_44452,230524,7,7,"Ovales Wappen. H. Diedrich Doringk, alte Patrizier-Familie, Helmzier im rothen Felde silberner Lowe und Inschrift: Obyt 6 Juni Anno 1614. Aetatis sue 47. Hohe 14, Breite 11 cm. 4 Sprunge.",55.0,99.2,False,positional,,,Glasgemalde; Kunstgegenstande
BO0624_44452,230525,8,8,"2 Vierpass-Fragmente mit Zwickeln und Fuss. Auf blauem Damast rother Renaissance-Schild, worin ein Baumstamm, aus welchem ein Zweig hervorwachst. Umrahmung ornamentirt und Inschrift Andreas Meier",56.0,97.4,False,positional,,,Glasgemalde; Kunstgegenstande
BO0624_44452,230526,9,9,"Gegenstick in ahnlicher Ausfuihrung und aufgesetztem Wappen. Melchior Maurer Glassmaller zu Reittlingen Anno 1658.Inschrift Andreas Homborgh.Wappen gesprungen. Hohe 23, Breite 18 cm.",58.0,99.2,False,positional,,,Glasgemalde; Kunstgegenstande
BO0624_44452,230527,10,10,Runde Wappenscheibe mit der Jahreszahl 1557.Umrahmung und Schild zum Theil Erganzung. Diam. 251/2 cm.,60.0,98.5,False,positional,,,Glasgemalde; Kunstgegenstande
