catalogue_id,chunk_db_id,chunk_id,num,title,matched_line,match_score,low_confidence,entity_match_method,artist,school,object_type,collection,period
BO0624_1003,187429,1,1,"ACKERMANN. Microcosm of London.London printed for R. Acherman, by T. Bensley, s. d.(18o8-18o9), 3vol. gr. in-4, 3 fr. gr. sur bois, 3 titres gr., 1o4 pl. coloriees, dos et coins mar. rouge, dos or., non rogne (Champs).",5,99.5,False,positional,,,OGGETTI IN LEGNO,,
BO0624_1003,187430,2,2,"ANACREON, Sapho, Bion et Moschus, traduction nouvelle en prose, suivie de La Veillee des Fetes de Venus, et d'un choix de pieces de differents auteurs par M. M*** C**. (Moutonnet de Clairfonds). A Paphos et se trouve a Paris chex Le Boucher, 1773,in-4, front. 12 vign. et 12 culsde-lampe gr. par Massard d'apres Eisen, mar. rouge, 3 fil., fleurons d'angles, dos or., dent. int., tr. dor. (Rel. anc.).",9,99.7,False,positional,BOUCHER FRANCOIS,,OGGETTI IN FERRO,,Sec. XVIII
BO0624_1003,187431,3,3,"ARIOSTO. Orlando furioso. Birmingham, Baskerville,1773, 4 vol. in-8, port. par Eisen, gr. par Ficquet, 46 fig. par Cipriani, Cochin,Eisen, Greuze, Monnet et Moreau, mar. rouge, comp. de fil. avec dent. et orn.,",20,99.5,False,positional,MOREAU GUSTAVE,,OGGETTI IN FERRO,,Sec. XVIII
BO0624_1003,187432,4,4,"BEAUMARCHAIS. La Folle journee ou le Mariage de Figaro. Comedie en cinq actes, en prose. Paris, Ruault,1785,in-8, 5 fig. de SaintQuentin gr.par Halbou,Lienard et Lingee,mar.rouge, 3fil., comp. de 3 fil. avec fleurons d'angles. dos or., dent. int. tr. dor. sur bro., etui (Lortic).",25,98.2,False,positional,,,LIVRES ANCIENS,,Sec. XVIII
BO0624_1003,187433,5,5,"BERQUIN. Idylles. A Paris, Ruault, 1775, 2 tomes en 1 vol. in-12, titre grav. et 24 fig. de Marillier gr. par Gaucher, de Ghendt, Le Gouaz, Delaunay, Lebeau, Masquelier, Nee et Ponce, mar. bleu, 3 fil., dos or., dent. int., tr. dor. (Chambolle-Duru).",31,84.4,False,positional,,,LIVRES ANCIENS,,Sec. XVIII
BO0624_1003,187434,6,6,"BIBLE. La Sainte Bible contenant l'ancien et le nouveau Testament, traduite en francois sur la Vulgate, par M. Le Maistre de Saci. Nouvelle edition, ornee de 3oo figures, gravees d'apres les dessins de Marillier. Paris, Defer de Maisonneuve. De limprimerie de Monsieur,178g-an XII (18o4), 12 vol. in-4, fig., carte, mar. rouge, a grain long, 3 fl., fleurons d'angles, dos or., dent. int. tr. dor. (Rel. anc.).",35,99.7,False,positional,,,LIVRES ANCIENS,,
BO0624_1003,187435,7,7,"BIBLE (La Sainte) contenant I'ancien et le nouveau Testament. Traduite en francois sur la Vulgate par Le Maistre de Saci. Nouvelle edition, ornee de 3oo figures, gravees d'apres les dessinsde Marillier. A Paris. Defer de Maisonneuve,Imprimerie de Monsieur,1789,12vol.in-8,veau racine pet. dent. dos ornes, tr. marbr. (Rel. anc.). bis. BOILEAU-DESPREAUX. Euvres. Avec des eclaircissements par M. Brossette et des dissertations critiques par M.de Saint Marc.A Paris, David, 1747, 5 vol. in-12, port., fleurons, vign. et culs-de-lampe, 6 fig., mar. vert, 3 fil., fleurons d'angles, dos or. dent. int., tr.redorees (Rel. anc.).",42,70.0,False,positional,,,LIVRES ANCIENS,,Sec. XVIII
BO0624_1003,187436,8,7bis,"BOILEAU-DESPREAUX. OEuvres. Avec des eclaircissements par M. Brossette et des dissertations critiques par M.de Saint Marc.A Paris, David, 1747, 5 vol. in-12, port., fleurons, vign. et culs-de-lampe, 6 fig., mar. vert, 3 fil., fleurons d'angles, dos or. dent. int., tr.redorees(Rel. anc.).",46,97.9,False,positional,,,LIVRES ANCIENS,,Sec. XVIII
BO0624_1003,187437,9,8,"BOSSUET. Discours sur l'Histoire Universelle, depuis le commencement du monde jusqu'a l'empire de Charlemagne. Paris-Didot, 1784, in-4, mar. vert., dent. a petits fers, dos or. a petits fers, dent. int. tr. dor. (Rel. anc.).",55,99.5,False,positional,,,LIVRES ANCIENS,,Sec. XVIII
BO0624_1003,187438,10,9,"BUSSY-RABUTIN. Histoire Amoureuse des Gaules, s. l. (Paris), 1754, 5vol. in-12, 5 titres graves, mar. grenat a long grain. dent., dos or., dent.int. tr. dor.",64,72.8,False,positional,,,LIVRES ANCIENS,,Sec. XVIII
