catalogue_id,chunk_db_id,chunk_id,num,title,matched_line,match_score,low_confidence,entity_match_method,artist,school,object_type
BO0624_83735,91381,1,1,Antonello De Messine. XV siecle.  Portrait dhomme.,,51.2,True,none,,,
BO0624_83735,91382,2,2,Boucher. 1703-1770. Les Oiseaux en cage.,117.0,66.7,False,positional,BOUCHER (FRANCOIS),,
BO0624_83735,91383,3,3,"BOUCHER, FRANCOIS. Le Petit Denicheur.",,54.0,True,title_direct,BOUCHER (FRANCOIS),,
BO0624_83735,91384,4,4,Bourguignon. 1621-1676. Bataille.,,44.4,True,none,,,
BO0624_83735,91385,5,5,Bourguignon. Combat de cavalerie.,147.0,75.0,False,positional,"BOURGUIGNON (JAcQUEs CoURToIs,dit le)",,
BO0624_83735,91386,6,6,BREUGHEL. 1568-1625. L'Entree dans larche. Bataille.,157.0,60.5,False,positional,"BREUGHEL (JEAN), dit de Velours",,
BO0624_83735,91387,7,7,Chardin. 1699-1799. Nature morte.,170.0,61.2,False,positional,CHARDIN (JEAN-BAPTISTE),,
BO0624_83735,91388,8,8,CLOUET FRANcois. 1510-1572. Portrait de femme..,,58.0,True,none,,,
BO0624_83735,91389,9,9,"Coques. 1618-1684. Portrait d'homme. l est vu jusqu'a mi-corps, en pourpoint noir, la tete presque de face, portant sur la fraise rigide a double tuyaute. Des cheveux blonds,une moustache naissante, le menton termine par une mince barbiche.La bouche est grande, d'un beau dessin male; les yeux bleus trahissent une volonte douce et patiente.Le front est ample, solidement modele;les pommettes sont legerement emaciees; le maxillaire inferieur a de l'accent. La figure, dans une lumiere blonde, se degage d'un fond sombre.",196.0,95.8,False,positional,COQUES (GONZALES),,
BO0624_83735,91390,10,10,Danloux. 1745-1809. Les Petits gourmands.,209.0,72.7,False,positional,DANLOUX (PIERRE),,
BO0624_83735,91391,11,11,Demarne. 1744-1829. Le Retour du marche.,224.0,68.8,False,positional,DEMARNE (JEAN-LoUIS),,
BO0624_83735,91392,12,12,Dietrich. 1712-1774. Le Marchand de gaufres.,235.0,73.2,False,positional,DIETRICH (CHRETIEN-GUILLAUME),,
BO0624_83735,91393,13,13,Drouais. 1727-1775. Portrait du jeune duc de Choiseul,,59.6,True,none,,,
BO0624_83735,91394,14,14,"Durer. 1471-1528. Portrait de Maximilien Ier (Empereur d'Alemagne, de1493a1519,grand-pere deCharles-Quint).",259.0,86.0,False,positional,DURER(ALBERT),,
