catalogue_id,chunk_db_id,chunk_id,num,title,matched_line,match_score,low_confidence,entity_match_method,artist,school,object_type,collection,period
BO0624_15271,413067,1,1,"Antonio Pisano (Pisanello). aus Verona 1397-1455. Johannes VIII.Palaeologus,byzantinischer Kaiser (14231448).+IwANNHC·BACIAEvC KAl·AVTO-KPATwP PwMAlwN·O·TAAAloAorOC Brustb.des Kaisers mit Kopfhedeckung rechts.Ks.OPVS·PISANI·PICTO RIS-EPrON·TOV·TTICANOY·ZwrPAΦOv. Der Kaiser zu Pferde r.vor einem Kruzifix betend, links ein berittener Page von hinten gesehen in Felsenlandschaft. Friedl. T.I, 1.Arm. 20. Tresor,med.it. T. V,1.Kat.Metzler 1. 101,5mm. Bronze.Braune Patina. Schon.",13,94.8,False,title_direct,Antonio Pisano (Pisanello),,,,Sec. XV
BO0624_15271,413068,2,2,"Antonio Pisano (Pisanello). aus Verona 1397-1455. Rickseite zur Medaille aui Leonello dEste.·OPVS:PISANI·PICTORIS· Zwei nackte Manner, Jungling und Greis, sitzen am Boden vor einer Saule,an welche ein vom Winde aufgeblahtes Segel befestigt ist. Friedl. 10. Arm. I, p. 3, No.5. 69 mm. Bronze.Hervorragend schones Exemplar von tiefbrauner Patina, das vielleicht dem Kinstler als Modell diente.",14,93.4,False,title_direct,Antonio Pisano (Pisanello),,,,Sec. XV
BO0624_15271,413069,3,3,"Matteo de'Pasti, um 1420-1490. Leon Battista AIberti florentinischer Architekt.oLEO BAPTISTA -ALBER",23,82.4,False,title_direct,Matteo de'Pasti,,,,Sec. XV
BO0624_15271,413070,4,4,"Sperandio, etwa 1425-1495. Johannes I. Bentivoglio, Herr von Bologna. oIOANNESBENTIVOLVS BO NONoLIBERTATISo PRINCEPS Brustb.in Mitze l..eine Kette iber dem Rocke. Ks. Das Wappenschild der Bentivoglio von zwei Engeln gehalten. Im Abschnitt OPVS SPERANDEIo Friedl.S.63,4.Arm.1. S.65,7. 105 mm. Bronze. Hochreliefiertes Prachtexemplar von trefflicher Erhaltung und brauner Patina.",29,93.5,False,title_direct,Sperandio,,,,Sec. XV
BO0624_15271,413071,5,5,"Sperandio, etwa 1425-1495. L.Carbone. OR SETTV QVEL CARBONE QVELLA FONTE Bekranztes Brustb. ihre Fischschwanze in Handen halt, auf Felsgestade; uber ihr in kleinen Buch-",35,92.4,False,title_direct,Sperandio,,,,Sec. XV
BO0624_15271,413072,6,6,"Sperandio, etwa 1425-1495. Andrea Barbaccia,Rechtsgelehrter(1480).ANDREAS·BARBATIA·MESANIVS· EQVES·ARAGONIAEQ·REGIS·CONSILIARIVS·IVRIS·VTRIVSQ· SPLENDIDISSIMVS·IVBAR·Brustb.1. mit Mutze,die 1. Hand vor der Schulter.Ks.oFAMASVPERoETHERAoNOTVS Die Fama auf einer Bucherreihe von vorn stehend. Sie ist mit sechs Flugeln bekleidet und halt in jeder Hand ein Buch. Unten klein:oOPVSo SPERANDEIo Das Ganze umschliesst ein kranzartiger Rand.Friedl. S. 64,9.Arm. S. 64,4. Mazzuchelli I. T.XXIV,1.110mm. Bronze. Sehr schones Exemplar dieser beruhmten Medaille.",42,97.5,False,title_direct,Sperandio,,,,Sec. XV
BO0624_15271,413073,7,7,"Sperandio, etwa 1425-1495. Virgilio Malvezzi, Bologneser Patrizier (1481).VIRGILIVSMALVITIVSBONONoPATRIEDECVSETLIBERTATISCVSTOSBrustb.mit Mutze1.Ks.MCCCC-LXXVIIII-OPVSSPERANDEI Auf einem Postament sitzender nackter Mann in der Rechten ein Schwert haltend. Friedl.S.70,26.Arm.S.70,29.Trés.I1.T.V,4.81,5 mm. Bronze. Dunkel patiniertes vorzugiiches Exemplar.",46,90.5,False,title_direct,Sperandio,,,,Sec. XV
BO0624_15271,413074,8,8,"Niccolo di Forzone Spinelli gen. Niccolo Fiorentino. in Florenz 1430-1513. Giovanni Pico della Mirandola. IOANNES PICVS MIRANDVLENSIS Jugendliches Brustb. in einem mit einem gefligelten Engelskopf gezierten Harnisch rechts. Ks.PVLCHRITVDOAMMORVOLVPTAS·Diedrei Grazien.Friedl.S.156,45. Arm S.86,9. Tres.T. XXV,6. 82 mm. Bronze. Hervorragend schones Exemplar.",55,88.3,False,title_direct,Niccolo di Forzone Spinelli gen. Niccolo Fiorentino,,,,Sec. XV
BO0624_15271,413075,9,9,"Andreas Guazzalotti,  Prato,Rom 1435—1495. Papst Pius II (Aeneas Silv. Piccolomini). ENAEAS PIVS SENENSIS PAPA SECVNDVS Brustb.l. Ks.A LES VT HEC CORDIS etc. Pelikan mit seinenJungen in Neste. Friedl.S.135,5.Arm.S.50,8. 53 mm. Bronze. Sehr schon.",65,90.6,False,title_direct,Andreas Guazzalotti,,,,Sec. XV
BO0624_15271,413076,10,10,"Amadio da Milano, um 1440-1450. Leonello d'Este, Herr von Ferrara,1441-1450. Sein Kopf rechtshin.Ks.Luchs nit verbundenen Augen auf Kissen sitzend. Friedl. S.51,1. Arm. S. 16,1. 46 mm. Bronze. Schoner, aber spaterer Guss.",71,93.0,False,title_direct,Amadio da Milano,,,,Sec. XV
