catalogue_id,chunk_db_id,chunk_id,num,title,matched_line,match_score,low_confidence,entity_match_method,artist,school,object_type,collection,period
BO0624_81813,139875,1,1,"ECOLE BOLONAISE, XVII siecle, La Madeleine,sur le fond paysage; bonne einture sur cuivre, cadre dore; m.0.16X0.22.",129.0,77.8,False,positional,,Scuola Bolognese,Tableaux,,Sec. XVII
BO0624_81813,139876,2,2,"ECOLE FLAMANDE, XVII siecle, Bataille,vive peinture sur cuivre,cadre doré; m.0.30X0.40.",131.0,98.8,False,positional,,Scuola Fiamminga,Tableaux,,Sec. XVII
BO0624_81813,139877,3,3,"ECOLE BOLONAISE, XVIlI siecle, Portrait de Jacques Braidi-Mori peint surtoile, cadre dore; m. 0.78X0.58.",132.0,82.4,False,positional,,Scuola Bolognese,Tableaux,,
BO0624_81813,139878,4,4,"ECOLE VENITIENNE, XVI siecle,Sujet historique,deux belles peintures sur toile, riches encadrements dores;m.1X0.70.",134.0,98.7,False,positional,,Scuola Veneziana,Tableaux,,Sec. XVI
BO0624_81813,139879,5,5,"ECOLE BOLONAISE, XVI siecle, Herodiade portant la tete de Saint Jean,pein ture sur toile, cadre dore; m.0.95X0.72.",135.0,99.1,False,positional,,Scuola Bolognese,Tableaux,,Sec. XVI
BO0624_81813,139880,6,6,"ECOLE BOLONAISE,XVII siecle,Tete deemme,peinture sur toile,cadrepint.",136.0,97.8,False,positional,,Scuola Bolognese,Tableaux,,
BO0624_81813,139881,7,7,"ECOLE VENITIENNE,XV siecle,L'doration des Mages,interessante peinture sur bois, cadre noir; m.0.73X0.60.",137.0,98.0,False,positional,,Scuola Veneziana,OGGETTI IN LEGNO,,
BO0624_81813,139882,8,8,"ECOLE NAPOLITAINE,XVIII siecle,Paysages awecfgures,deux belles peintures sur bois, cadres dores; m.0.53X0.38.",138.0,99.1,False,positional,,Scuola Napoletana,OGGETTI IN LEGNO,,
BO0624_81813,139883,9,9,"ECOLE BOLONAISE,XVII siecle,Portrait dunotaireJean CharlesTagliabecchi,",139.0,98.6,False,positional,,Scuola Bolognese,Tableaux,,
BO0624_81813,139884,10,10,"ECOLE BOLONAISE,XVII siecle,Tetes devieux,deux vigoureuses peintures sur toile d'une grande force de couleur, cadres dores; m. 0.40X0.32. Appartenant a la Collection Franciosi de Carpi.",141.0,99.2,False,positional,,Scuola Bolognese,Tableaux,COLLEZIONE FRANCIOSI DI CARPI,
BO0624_81813,139885,11,11,"SANZIO RAPHAEL (copie),La vision d' Ezechiel,ancienne copie du tableau de la Galerie des Ufizi,peinture sur bois, cadre dore; m. 0.37X0.27.",142.0,98.9,False,positional,SANZIO RAFFAELLO,Scuola di Raffaello Sanzio,OGGETTI IN LEGNO,,
BO0624_81813,139886,12,12,"TIEPOLO (école), L'Ascension,vive et belle esquisse peinte sur toile, cadre doré; m.0.85X0.45.",143.0,98.3,False,positional,TIEPOLO DOMENICO,,Tableaux,,
BO0624_81813,139887,13,13,"ECOLE ANGLAISE,XIX siecle,Le parnase anglais,intressante et curieuse peinture qui dans un beau paysage reunit les poetes, les philosophes, les musiciens, les hommes de robe et d’epee les plus illustres de lAngleterre. Cadre sculptè et dorè.",144.0,77.3,False,positional,,,Tableaux,,
BO0624_81813,139888,14,14,"FRANCOIS PRIMATICCIO,1490-1570,Son portrait peint sur toile,ancienne ancienne copie dont l'original est conserve dans la Galerie des Uffizi a Florence, cadre dore; m.0.37X0.33.",152.0,70.9,False,positional,,,Tableaux,,Sec. XVI
BO0624_81813,139889,15,15,"ASIOLI LOUIS,Petit enfant, belle copie de la Madone de Foligno par Raphael; peinture sur toile signee, cadre sculpte et dore; m. 0.90X0.68.",153.0,98.9,False,positional,SANZIO RAFFAELLO,,Tableaux,,
BO0624_81813,139890,16,16,"PIAZZETTA J.B.,La presentation de Marie au Temple,vive peinture sur toile, cadre doré;m.0.36X0.66.",154.0,98.4,False,positional,,,Tableaux,,
BO0624_81813,139891,17,17,"PIERIN DELVAGA (PIERRE BONACCORSI,1500-1547,Bataille dAmazones, belle peinture sur ardoise, cadre dore; m.0.67X0.48.",155.0,69.7,False,positional,,,Tableaux,,Sec. XVI
BO0624_81813,139892,18,18,"ECOLE BOLONAISE,XVII siecle,Une sybille,tresbellepeinture sur toile;le dessin y est particulierement soigne,la couleur bonne. Parfaite conservation,cadre sculpte et doré; m.0.90x0.70.",157.0,99.2,False,positional,,Scuola Bolognese,Tableaux,,
BO0624_81813,139893,19,19,"ECOLE VENITIENNE,XVI siecle,La Madone avec lEnfant,Saint Luc et Sainte Catherine, tres bonne peinture sur bois remarquable pour le dessin et les couleurs, conservation parfaite,riche cadre sculpte et doré.",158.0,99.3,False,positional,,Scuola Veneziana,OGGETTI IN LEGNO,,
BO0624_81813,139894,20,20,"GANDOLFI M., XVIII siecle, Saint Jerome,tresbeaupastel de fine execution,cadredoré;m.0.44X0.55.",159.0,97.8,False,positional,,,Tableaux,,Sec. XVIII
BO0624_81813,139895,21,21,"GOLTIUS HENRI, 1558-1617, La Madonea lapoire,peinture sur bois tiréedune gravure d'A. Durer, cadre en cuivre repoussé; m. 0.15X0.12.",160.0,94.3,False,positional,DURER ALBRECHT,,OGGETTI IN LEGNO,,Sec. XVI
BO0624_81813,139896,22,22,"GANDOLFI M.,XVIII siecle,La santification de Saint Francois,charmante peinture sur toile d'un grand effet;bonne la couleur, vigoreux le dessin, cadre dore; m.1.10X0.70.",161.0,99.1,False,positional,,,Tableaux,,
BO0624_81813,139897,23,23,"ECOLE FRANCAISE, XVIII siecle,Une bataille,belle peinture sur bois remarquable pour la vivacite des couleurs et l'habilite de la touche,cadre richement sculptéetdore;m.0.55X0.40.",162.0,99.2,False,positional,,,OGGETTI IN LEGNO,,Sec. XVIII
BO0624_81813,139898,24,24,"ECOLE GENOISE, XVII siecle, Portrait de la comtesse Pauline Marliani femme de Charles Emanuel Estense,bonne peinture sur toile,en haut l'inscription: D. PAOLA MAR.DESTE CO.DELLA RIV.MAR.DI BORGO.MAN.RO DI PORLEZZA E.S.TA CRIST.NA CO.A DI CORTELEONA E SIG.RA DEL VICAR.TO DI BELGIOIOSO.Riche encadrement sculpte et dore par le celebre sculpteur en bois Bonelli de Mirandola; m.0.60X0.57.",163.0,98.1,False,positional,,Scuola Genovese,OGGETTI IN LEGNO,,Sec. XVII
BO0624_81813,139899,25,25,"VASARI GEORGES,1504-1578,Ladoration des Mages, sur le fond beau paysage, peinture sur bois aux couleurs vives et au dessin exacte, cadre noir; m. 0.23X0.18. Provenant de la Galerie Diena de Modene.",168.0,77.0,False,positional,,,OGGETTI IN LEGNO,,Sec. XVI
BO0624_81813,139900,26,26,"PALMA LE VIEUX (ecole),La Sainte Famille, sur le fond paysage,fraiche peinture sur bois, cadre sculpte et dore; m.0.75X0.53.",170.0,74.0,False,positional,,,OGGETTI IN LEGNO,,
BO0624_81813,139901,27,27,"MICHELANGELO DA CARAVAGGIO,1569-1609,Interieur d'une hotellerie,orte peinture sur toile, cadre sculpte et dore.",172.0,97.2,False,positional,CARAVAGGIO,,ARREDAMENTI,,Sec. XVI
BO0624_81813,139902,28,28,"MARATTA CHARLES,1615-1713,La Vierge,l'Enfant et Saint Jean,tres inte ressant et beau pastel, cadre dore; m.0.75X0.56.",173.0,72.8,False,positional,MARATTI CARLO,,Tableaux,,Sec. XVII
BO0624_81813,139903,29,29,"GESSI FRANCOIS,Bologne,1588-1649,Saint Francois,peinture sur toile,cadre sculpte et dore;m.0.84X0.64.",175.0,82.3,False,positional,,,Tableaux,,Sec. XVII
BO0624_81813,139904,30,30,"BOULANGERDE TROYES,1606-1660,La Madone et Saint Jerome,intressante copie du celebre tableau du Coreggio, executee sur commande de Francois I, duc de Modene.Belle peinture de bon coloris.Toile,encadrement ancien sculpte et doré;m.2X1.40.",177.0,98.9,False,positional,CORREGGIO,,Tableaux,,Sec. XVII
