catalogue_id,chunk_db_id,chunk_id,num,title,matched_line,match_score,low_confidence,entity_match_method,artist,school,object_type
BO0614_87918,521387,1,1,"Jacques d'Arthois (geb. zu Brussel 1613, gest. nach 1683). Waldlandschaft",39.0,63.1,False,title_direct,Jacques d'Arthois,,
BO0614_87918,521388,2,2,"W. Berents (17, Jahrhundert). Witerlandschaft",,51.5,True,title_direct,W.Berents,,
BO0614_87918,521389,3,3,"A. van Borssom (geb. zu Amsterdam 169, gest. daselbst 1672). ) Herbstlandschaft",,55.1,True,title_direct,A.van Borssom,,
BO0614_87918,521390,4,4,"Jan Both (geb. zu Utrecht 1610, gest. 1652). Kleine Landschaft",,54.7,True,title_direct,Jan Both,,
BO0614_87918,521391,5,5,"Jan Brueghel und Hendrik van Balen (geb.zu Bruissel 1568,gest.1625 — geb.zu Antwerpen 1575, gest.1632). Fischzug der Diana.",72.0,66.7,False,title_direct,Hendrik van Balen,,
BO0614_87918,521392,6,6,"Pieter Brueghel d. J. (geb. zu Brussel 1564, gest.zu Antwerpen 1638). Bauernkirchweih.",80.0,65.6,False,title_direct,Pieter Brueghel d. J.,,
BO0614_87918,521393,7,7,Art des Paul Bril. Herbstlandschaft mit Fluss.,,55.0,True,title_direct,,Art des Paul Bril,
BO0614_87918,521394,8,8,"Adriaen Brouwer (geb.zu Audenaarde um 1605, gest.zu Antwerpen 1638). Bauernschenke.",,52.0,True,title_direct,Adriaen Brouwer,,
BO0614_87918,521395,9,9,"Giovanni Benedetto Castiglione (geb.zu Genua 1616, gest.zu Mantua 1670).  Karawane",,54.4,True,title_direct,Giovanni Benedetto Castiglione,,
BO0614_87918,521396,10,10,"Graf Carlo Cignani  geb. zu Bologna 1628, gest. zu Forli 1719. Die hl. Maria mit Kind.",93.0,66.1,False,title_direct,Graf Carlo Cignani,,
BO0614_87918,521397,11,11,"Lukas Cranach d. Ae. (geb. zu Kronach 1472, gest.zu Weimar 1553). Johann, Herzog von Sachsen",,58.2,True,title_direct,Lukas Cranach d. Ae.,,
BO0614_87918,521398,12,12,"Anthony Jansz van der Croos  (geb. im Haag 1606, gest. nach 1669). Landschaft",,57.7,True,title_direct,Anthony Jansz van der Croos,,
BO0614_87918,521399,13,13,"Aelbert Cuyp (geb. zu Dortrecht 1605, gest. daselbst 1620).Die Gilde.",133.0,69.0,False,title_direct,Aelbert Cuyp,,
BO0614_87918,521400,14,14,"Aelbert Cuyp (geb. zu Dortrecht 1605, gest. daselbst 1620). Flusslandschaft",,55.5,True,title_direct,Aelbert Cuyp,,
BO0614_87918,521401,15,15,"Karel Du Jardin (geb.zu Amsterdam 1622, gest.zu Venedig 1678). Wuirfelnde Bauern.",,57.6,True,title_direct,Karel Du Jardin,,
BO0614_87918,521402,16,16,"William Gouw Ferguson (geb. in Schottland 1633, gest.nach 1695). Stilleben",168.0,66.7,False,title_direct,William Gouw Ferguson,,
BO0614_87918,521403,17,17,"Frans Floris  geb.zu Antwerpen 1517, gest. daselbst 1570. Allegorische Darstellung.",176.0,68.8,False,title_direct,Frans Floris,,
BO0614_87918,521404,18,18,Johann von Fockenberg. Stilleben,186.0,75.0,False,title_direct,Johann von Fockenberg,,
BO0614_87918,521405,19,19,"Frans Francken d. A.  geb.zu Hehrentals 1542, gest.1616. ""Bilderkauf"".",196.0,66.0,False,title_direct,Frans Francken d. A.,,
BO0614_87918,521406,20,20,"Jan Fyt (geb.zu Antwerpen 161l, gest. daselbst 1661). Stilleben.",215.0,67.3,False,title_direct,Jan Fyt,,
BO0614_87918,521407,21,21,"Jan Fyt (geb.zu Antwerpen 161l, gest. daselbst 1661). Gegenstick zum vorigen.",843.0,62.8,False,title_direct,Jan Fyt,,
BO0614_87918,521408,22,22,P. Gallee. Blumenstick.,,36.4,True,title_direct,P.Gallee,,
BO0614_87918,521409,23,23,"Jan Paul Gillemans (geb.zu Antwerpen 1618,gest. nach 1675). Stilleben",,44.2,True,title_direct,Jan Paul Gillemans,,
BO0614_87918,521410,24,24,J.H. Gryeff. Stilleben.,888.0,60.0,False,title_direct,J.H.Gryeff,,
BO0614_87918,521411,25,25,"Willem Klaasz Heda (geb. zu Haarlem 1594, gest. nach 1678). Stilleben.",,41.1,True,title_direct,Willem Klaasz Heda,,
BO0614_87918,521412,26,26,"Gerard Hoet  (geb.zu Bommel 1648,gest. im Haag 1733). Diana und ihre Nymphen im Bade.",,35.6,True,title_direct,Gerard Hoet,,
BO0614_87918,521413,27,27,Schlachtenszene,,30.5,True,none,,,
BO0614_87918,521414,28,28,"Abraham Janssens van Nuyssen (geb.zu Antwerpen 1575, gest.1632). Sybilla",,33.3,True,title_direct,Abraham Janssens van Nuyssen,,
BO0614_87918,521415,29,29,"Alexander Keirincx (geb. zu Antwerpen 1600, gest. zu Amsterdam 1652). Waldlandschaft mit alttestamentlicher Darstellung.",,35.6,True,title_direct,Alexander Keirincx,,
BO0614_87918,521416,30,30,"Johann Kupetzky (geb. zu Poesing bei Pressburg 1666, gest. zu Nuirnberg 1740). Portrat eines Malers.",,38.6,True,title_direct,Johann Kupetzky,,
BO0614_87918,521417,31,31,W.Lansius. Nymphe und Faune.,,35.8,True,title_direct,W.Lansius,,
BO0614_87918,521418,32,32,"Charles Lebrun (geb. zu Paris 1619, gest. daselbst 1690). Die Anbetung der heiligen Drei Konige.",,34.9,True,title_direct,Charles Lebrun,,
BO0614_87918,521419,33,33,"Abraham Louis van Loo (geb. zu Amsterdam um 1641, gest. zu Nizza 1713). Blumenschmuck.",,34.5,True,title_direct,Abraham Louis van Loo,,
BO0614_87918,521420,34,34,"Gerrit Lundens (geb.zu Amsterdam 1622, gest. nach 1677). Landliche Hochzeit. m Innern eines Wirtshauses tanzt eine aus Mannern und Frauen bestehende Gesellschaft rund um einen Tisch. Sie kehren dem auf demselben erhoht sitzenden, zartlichen Brautpaare den Rucken zu. Um diese Gruppe sind die verschiedenen zechenden Hochzeitsgaste versammelt. In der rechten Ecke stehen die Musikanten zum Teile auf einer Bank. Mehrere Fenster gewahren Ausblick ins Freie. Auf dem Boden Gefafe.",,47.3,True,title_direct,Gerrit Lundens,,
BO0614_87918,521421,35,35,"Karel van der Mander der Altere  geb. zu Meulenbecke in Flandern 1548, gest. zu Amsterdam 1606. Musizierende Musen.",,33.3,True,title_direct,Karel van der Mander der Altere,,
BO0614_87918,521422,36,36,"Michiel Jansz Mierevelt (geb.zu Delft 1567, gest. daselbst 1641). Herrenbildnis.",,33.6,True,title_direct,Michiel Jansz Mierevelt,,
BO0614_87918,521423,37,37,Art des M. J. Mierevelt. Herrenbildnis.,,43.3,True,title_direct,,Art des M. J. Mierevelt,
BO0614_87918,521424,38,38,"Francois Millet  geb. zu Antwerpen 1642, gest. zu Paris 1679. Landschaft.",,36.4,True,title_direct,Francois Millet,,
BO0614_87918,521425,39,39,"Klaes Molenaer (geb. in Haarlem, gest. daselbst 1676). Neuigkeiten.",,40.6,True,title_direct,Klaes Molenaer,,
BO0614_87918,521426,40,40,"Klaes Molenaer (geb. in Haarlem, gest. daselbst 1676). Winterlandschaft.",,40.6,True,title_direct,Klaes Molenaer,,
BO0614_87918,521427,41,41,"Klaes Molenaer (geb. in Haarlem, gest. daselbst 1676). Winterlandschaft.",,40.6,True,title_direct,Klaes Molenaer,,
BO0614_87918,521428,42,42,"Pieter de Molyn (geb. zu London um 1600, gest.zu Haarlem 1661). Landschaft.",,34.2,True,title_direct,Pieter de Molyn,,
BO0614_87918,521429,43,43,"Giovanni Battista Moroni (geb. zu Albino bei Bergamo um 1520, gest.zu Brescia 1578). Herrenbildnis.",,32.9,True,title_direct,Giovanni Battista Moroni,,
BO0614_87918,521430,44,44,"J.Mathys Naiveu (geb. zu Leiden 1647, gest.zu Amsterdam 1721). Allegorie auf die leiblichen Werke der Barmherzigkeit",,36.4,True,title_direct,J.Mathys Naiveu,,
BO0614_87918,521431,45,45,Niederlandische Schule. Marktszene,,46.2,True,title_direct,,Niederlandische Schule,
BO0614_87918,521432,46,46,"Izaak van Ostade (geb. zu Haarlem 1621, gest. daselbst 1649). Winterlandschaft",,34.9,True,title_direct,Izaak van Ostade,,
BO0614_87918,521433,47,47,"Adam Pijnacker (geb. zu Pijnacker bei Delft 1622, gest. zu Amsterdam 1673). FluBlandschaft mit Staffage.",,35.4,True,title_direct,Adam Pijnacker,,
BO0614_87918,521434,48,48,Art des Paul Potter. Auf der Weide,,38.1,True,title_direct,,Art des Paul Potter,
BO0614_87918,521435,49,49,Schule des Rembrandt. Der barmherzige Samariter.,,42.0,True,title_direct,,Schule des Rembrandt,
BO0614_87918,521436,50,50,"Theodor Rombouts (geb.zu Antwerpen 1597, gest. daselbst 1637). Dorflandschaft.",,34.9,True,title_direct,Theodor Rombouts,,
BO0614_87918,521437,51,51,"David Ryckaert (geb.zu Antwerpen 1612, gest. daselbst 1661). Singende Bauern",,33.8,True,title_direct,David Ryckaert,,
BO0614_87918,521438,52,52,"Roeland Savery (geb.zu Kortryk 1576, gest.zu Utrecht 1639). Paradies.",,35.0,True,title_direct,Roeland Savery,,
BO0614_87918,521439,53,53,"Otho Marcellis van Schrieck (geb.zu Nymwegen 1619 oder 1620, gest.zu Amsterdam 1678). Tierstick.",,34.7,True,title_direct,Otho Marcellis van Schrieck,,
BO0614_87918,521440,54,54,"Heinrich Wilhelm Schweickhardt (geb.im Brandenburgschen 1746, gest.zu London 1797).  Kleine Higellandschaft.",,37.1,True,title_direct,Heinrich Wilhelm Schweickhardt,,
BO0614_87918,521441,55,55,"Alexander Maximilian Seitz (geb. zu Muinchen 1811, gest zu Rom 1888). Die Begegnung zwischen Esau und Jacob.",,36.0,True,title_direct,Alexander Maximilian Seitz,,
BO0614_87918,521442,56,56,Art des Jan Steen. Im Wirtshaus.,,38.8,True,title_direct,,Art des Jan Steen,
BO0614_87918,521443,57,57,"Herman van Swanevelt  (geb. zu Woerden 1600, gest. zu Paris 1655 (?)). Italienische Landschaft.",,34.8,True,title_direct,Herman van Swanevelt,,
BO0614_87918,521444,58,58,"Jan Philips van Thielen (geb. zu Mecheln 1618, gest. zu Boisschot 1667). Blumenstilleben.",,38.7,True,title_direct,Jan Philips van Thielen,,
BO0614_87918,521445,59,59,"Jan Philips van Thielen (geb. zu Mecheln 1618, gest. zu Boisschot 1667). Gegenstick zum Vorigen.",,33.3,True,title_direct,Jan Philips van Thielen,,
BO0614_87918,521446,60,60,"Lucas van Uden (geb.zu Antwerpen 1595, gest. daselbst 1672). Dorflandschaft.",,33.8,True,title_direct,Lucas van Uden,,
BO0614_87918,521447,61,61,Unbekannt. Ecce-homo.,,28.3,True,none,,,
BO0614_87918,521448,62,62,Unbekannt. Mater dolorosa. Gegenstick zum Vorigen.,,34.7,True,none,,,
BO0614_87918,521449,63,63,Unbekannt. Predigt des hl. Johannes.,,41.1,True,none,,,
BO0614_87918,521450,64,64,Unbekannt. St. Antonius in Landschaft.,,38.5,True,none,,,
BO0614_87918,521451,65,65,Unbekannt. Der Fischhandler.,,36.7,True,none,,,
BO0614_87918,521452,66,66,Unbekannt. Winterlandschaft.,,36.7,True,none,,,
BO0614_87918,521453,67,67,Unbekannt. Landschaft.,,32.6,True,none,,,
