catalogue_id,chunk_db_id,chunk_id,num,title,matched_line,match_score,low_confidence,entity_match_method,artist,school,object_type,collection,period
BO0624_5508,55807,1,1,DUE COLONNE in marmo bianco scolpite con volatili,45,98.0,False,none,,,,,
BO0624_5508,55808,2,2,DUE LEONI camminanti scolpiti in marmo bianco di Carrara.,50,98.2,False,none,,,,,
BO0624_5508,55809,3,3,"DUE ANTICHE COLONNE in granito orientale rosa bis BEL CAMINETTO in marmo bianco intagliato sullo stile del xvI secolo decorato da volute volatili, foglie",56,82.3,False,none,,,,,
BO0624_5508,55810,4,4,DUE COLONNE in raro marmo africano bigio orientale con base di marmo bianco.,64,98.7,False,none,,,,,
BO0624_5508,55811,5,5,"DUE VASI a forma di Anfora con due manici e pieduccio in antico alabastro Orientale tartarugato. Altezza m. O,90 diam. del corpo del vaso m. 0,25. scolpito in marmo bianco.di Carrara.",65,88.1,False,none,,,,,
BO0624_5508,55812,6,6,DUE BASI per i suddetti vasi formate da un leone,67,98.0,False,none,,,,,
BO0624_5508,55813,7,7,"""CRISTO ALLA COLONNA"". Bassorilievo scolpito in marmo bianco.",73,95.8,False,none,,,,,
BO0624_5508,55814,8,8,"DUE LEONI in piedi, scolpiti in marmo bianco di Carrara, aventi tra le gambe un agnello e sorreggiendo sul dorso una colonna di giallo antico con capitello di marmo bianco intagliato a f figure e fogliami di stile bizzantino.",74,99.6,False,none,,,,,
BO0624_5508,55815,9,9,"BUSTO di grandezza al naturale, rappresentante l'imperatore Marco Aurelio, con testa in marmo bianco e petto in alabastro Orientale.",78,99.2,False,none,,,,,
BO0624_5508,55816,10,10,"UNO DETTO rappresentante l' imperatore Tito, con testa",82,97.2,False,none,,,,,
BO0624_5508,55817,11,11,"UNO DETTO rappresentante l'imperatore Tiberio, testa in marmo bianco e petto in alabastro Orientale.",87,98.5,False,none,,,,,
BO0624_5508,55818,12,12,UNO DETTO rappresentante l'imperatore Claudio con testa in basalto e petto in alabastro Orientale.,95,65.3,False,none,,,,,
BO0624_5508,55819,13,13,ANTICO SARCOFAGO in marmo bianco scolpito con figure in alto rilievo.,96,48.9,False,none,,,,,
BO0624_5508,55820,14,14,"GRANDE ROCCHIO in cipollino verde, con base di marmo bianco.",100,97.5,False,none,,,,,
BO0624_5508,55821,15,15,"GRANDE COLONNA di stile bizzantino formata da 2 tortiglioni intrecciati scolpiti in marmo biancc: di Carrara, con incrostazioni di musaico a colori. Base di forma quadrata, capitello intagliato con fogliami. Altezza m.2,25 diam.0,30.",104,99.3,False,none,,,,,
BO0624_5508,55822,16,16,"BUSTO in marmo bianco d'Epoca Romana, rappresentante l'imperatrice Faustina, grandezza al naturale con petto panneggiato.",105,90.5,False,none,,,,,
BO0624_5508,55823,17,17,"UNO DETTO simile, rappresentante Marciana con petto",110,97.1,False,none,,,,,
BO0624_5508,55824,18,18,DUE COLONNE in marmo cipollimo verde marino con base in marmo bianco di forma quadrata.,115,98.3,False,none,,,,,
BO0624_5508,55825,19,19,TESTA DI FANCIULLO scolpita in marmo di scavo sopra colonnina di marmo bigio morato.,119,68.7,False,none,,,,,
BO0624_5508,55826,20,20,"DUE GRUPPI scolpiti in marmo bianco di Carrara, rappresentanti Satiro e Baccante sopra tronche colonne di breccia di Serravezza dorata con base e ca-",121,99.0,False,none,,,,,
BO0624_5508,55827,21,21,"DUE COLONNINE di stile bizzantino, formate da due tortiglioni intrecciati scolpiti in marmo bianco di Carrara con incrostazioni di musaico a colori. Base e capitello intagliato a fogliami.",128,99.2,False,none,,,,,
BO0624_5508,55828,22,22,TRONCA COLONNA in marmo settebasi con base attica in marmo bianco di Carrara.,129,57.9,False,none,,,,,
BO0624_5508,55829,23,23,PICCOLO SEMI BUSTO di vecchio in marmo bianco.,130,96.8,False,none,,,,,
BO0624_5508,55830,24,24,"CANDELABRO di stile bizzantino scolpito in marmo bianco di Carrara, con figure in rilievo fogliami ed",132,98.5,False,none,,,,,
BO0624_5508,55831,25,25,"TESTA DI GIOVANE in marmo bianco di scavo, so-",137,96.7,False,none,,,,,
BO0624_5508,55832,26,26,COLONNA in breccia corallina con base di marmo bianco.,139,97.2,False,none,,,,,
BO0624_5508,55833,27,27,"ANTICO BUSTO in marmo bianco, rappresentante 1l'im-",140,97.0,False,none,,,,,
