catalogue_id,chunk_db_id,chunk_id,num,title,matched_line,match_score,low_confidence,entity_match_method,artist,school,object_type
BO0624_81816,64107,1,1,Revorowsks. Testa di Cristo. Dipinto entro cornice dorata.,77.0,81.1,False,positional,,,QUADRI
BO0624_81816,64108,2,2,Allori Alessandro. Sec. XVI (Maniera del).Ritratto di giovinetto. Dipinto su tela applicata alla tavola.,78.0,85.1,False,positional,,,QUADRI
BO0624_81816,64109,3,3,Pannini Gian Paolo. 1691-1764. Ercole Farnese. Buon dipinto su tavola. Cornice francese dorata. Alt. 0.17 larg. 0.16. Ricci Sebastiano. Sec. XVIll. Venere con amorini. Dipinto su tela.,,57.0,True,none,,,
BO0624_81816,64110,4,4,Ricci Sebastiano. Sec. XVIll. Venere con amorini. Dipinto su tela.,81.0,85.7,False,positional,,,QUADRI
BO0624_81816,64111,5,5,Scotti Luigi. Sec. XVIll. Ritratto di Antonio Luzzi. Buon dipinto senza cornice.,82.0,83.3,False,positional,,,QUADRI
BO0624_81816,64112,6,6,Sanzio Raffaello Sec. XVI. (Copia antica dal). Lo sposalizio di S. Caterina. Dipinto su tela. Cornice intagliata e dorata.,84.0,91.4,False,positional,,,QUADRI
BO0624_81816,64113,7,7,Scuola Veneziana del Sec. XVI. La Madonna col Bambino e una Santa. Dipinto su tavola. Cornice antica dorata.,85.0,63.5,False,positional,,,QUADRI
BO0624_81816,64114,8,8,Maratta Carlo. 1525-1613. La Sacra Famiglia. Buon dipinto su tela.,87.0,93.0,False,positional,,,QUADRI
BO0624_81816,64115,9,13,9.Preti Mattia detto il Calabrese.1643-1699. La flagellazione. Dipinto dai tratti vigorosi. Tela. Cornice dorata.,89.0,71.4,False,positional,,,QUADRI
BO0624_81816,64116,10,14,"pinto dai tratti vigorosi. Tela. Cornice dorata. Alt. o,65 larg.o,53.",90.0,97.2,False,positional,,,QUADRI
BO0624_81816,64117,11,15,"Rosso (del) Fiorentino. 1496-1541. Gentildonna e bambino. Pittura su tavola entro cornice dorata. Alt. I,2o larg. I,oo.",91.0,96.7,False,positional,,,QUADRI
BO0624_81816,64118,12,11,Franck Francesco detto il Vecchio. 1564-1666. La Vergine e Santa Salome in piedi presso la Vergine reca il vaso degli sua devozione. Bel dipinto su tavola di corretto disegno,92.0,94.6,False,positional,,,QUADRI
BO0624_81816,64119,13,12,"Barbieri Francesco detto il Guercino. 1591-1666. Mezza figura di giovinetta. Magnifica, vigorosa pittura su tavola. Cor-",93.0,98.4,False,positional,,,QUADRI
BO0624_81816,64120,14,13,Calieri Paolo detto il Veronese. 1532-1588. (Scuola del). La Pieta.,97.0,97.1,False,positional,,,QUADRI
BO0624_81816,64121,15,14,Scuola Napoletana del Sec. Xvll. Ritratto di vecchia. Pittura su tela dal tratto vigoroso. Cornice scolpita in stile e dorata.,98.0,67.0,False,positional,,,QUADRI
