catalogue_id,prev_num,current_num,title,excerpt
documents/BO0624_4389,214,245,CALVARIO. Dipinto su tavola con molte figure e panorama di Gerusalemme. Fondo d'oro.,"245. CALVARIO. Dipinto su tavola con molte figure e panorama di Gerusalemme. Fondo d'oro.

Alt. M. 0.45 - Larg. M. 0.33.

## SCUOLA BIZANTINA."
documents/BO0624_4389,268,2,"26g. CIMASA in legno dorato, scolpito a figure e volate.","2. 26g. CIMASA in legno dorato, scolpito a figure e volate."
documents/BO0624_4389,2,270,QUATTRO COLONNE in legno intagliato e dorato.,"270. QUATTRO COLONNE in legno intagliato e dorato.
## QUARTA VACAZIONE

## Giovedì 25 Aprile 1907, alle ore 15 precise

## Maioliche e Terrecotte."
documents/BO0624_4389,271,273,BOCCALE con testa di serafino policromata su fondo bianco. Urbino. Secolo XVII.,"273. BOCCALE con testa di serafino policromata su fondo bianco. Urbino. Secolo XVII.

Alt. M. 0.25."
documents/BO0624_4389,273,273,VASO a casco rovesciato (casquière) con mascherone a rilievo ed ornati a colori su smalto bianco. Urbino. Secolo XVII. Alt. M. 0.20.,273. VASO a casco rovesciato (casquière) con mascherone a rilievo ed ornati a colori su smalto bianco. Urbino. Secolo XVII. Alt. M. 0.20.
documents/BO0624_4389,273,2,27+. PIATTO a largo bordo con ornati a colori giallo e bleu su fondo bianco; nel centro San Francesco in atto di ricevere le Sacre Stimmate. Smalto a riflessi iridescenti. Fab. Deruta. Sec. XVII.,"2. 27+. PIATTO a largo bordo con ornati a colori giallo e bleu su fondo bianco; nel centro San Francesco in atto di ricevere le Sacre Stimmate. Smalto a riflessi iridescenti. Fab. Deruta. Sec. XVII.

Diam. M. 0.40."
documents/BO0624_4389,2,275,FIGURINA muliebre drappeggiata. Tanagra. Alt. M. 0.22.,275. FIGURINA muliebre drappeggiata. Tanagra. Alt. M. 0.22.
documents/BO0624_4389,288,2,mogano e guarnizioni di bronzo. Porta la scritta: « Fait par Vandekerchove Ebeniste - Paris ».,2. mogano e guarnizioni di bronzo. Porta la scritta: « Fait par Vandekerchove Ebeniste - Paris ».
documents/BO0624_4389,3,289,CROCEFISSo di avorio. Bella scultura del secolo XVI.,"289. CROCEFISSo di avorio. Bella scultura del secolo XVI.

Vedi Illustrazione, Tar. 24.

Alt. M. c.10."
documents/BO0624_4389,314,316,316. MADONNA e Bambino su tavola. Tabernacolo intagliato e dorato. Misura della sola tavola M. 0.70 X 0.50. Misura total,"316. MADONNA e Bambino su tavola. Tabernacolo intagliato e dorato. Misura della sola tavola M. 0.70 X 0.50. Misura totale M. 1.55 X 0.95. Vedi Illustrazione, nella copertina.

## SCUOLA FIORENTINA."
