inventario,dc.title,handle,manifest
BO0624_84335,"Catalogue des objets d'art du XVIe au XVIIIe siècle, tableaux, aquarelles, dessins ... meubles anciens ... provenant du Château de Courtanvaux (Sarthe): première vente ... lundi 9 et mardi 10 décembre 1929",https://historica.unibo.it/handle/20.500.14008/93685,https://historica.unibo.it/server/iiif/015b4cd2-4450-49df-babe-f753a1643103/manifest
BO0624_87548,"Katalog der Galerie H. L. Neumann k. k. österr. Hofkunsthändler in München: auction in München in den bisherigen Ausstellungslokalitäten Maximilianstrasse 38 Montag, den 3. Oktober und Dienstag, den. Oktober 1898 ...",https://historica.unibo.it/handle/20.500.14008/93810,https://historica.unibo.it/server/iiif/0165eee5-4974-43d6-af77-611612f503a3/manifest
BO0624_88632,"Olgemalde moderner Meister: Sammlung Ludwig Merkl, München: Auktion in der Galerie Hugo Helbing...26 Marz 1927",https://historica.unibo.it/handle/20.500.14008/94573,https://historica.unibo.it/server/iiif/018123b9-26cc-4867-b050-e905d3e1dba9/manifest
BO0624_87663,Antiquitäten dabei Sammlung aus dem Nachlass des Herrn S. C.-Lübeck ... Sammlung von Gemälden alter Meister. Dabei der Nachlass des Herrn C. Böttger-Stavenhagen ... Versteigerung der Gemälde ... 3 Oktober 1903,https://historica.unibo.it/handle/20.500.14008/93870,https://historica.unibo.it/server/iiif/01b3fbfd-2f2b-432f-8535-961c8abbac50/manifest
BO0624_88137,Katalog einer Sammlung von Kunst- und Einrichtungsgegenständen Mobiliar Gemälden aus dem Besitze eines rheinischen Industriellen ...: Versteigerung zu Cöln ... den 1. Oktober ... den 2. und ... den 3. Oktober ...,https://historica.unibo.it/handle/20.500.14008/94202,https://historica.unibo.it/server/iiif/01e53dd1-5e04-4461-8be6-fc9b0094099b/manifest
BO0624_88468,Gemälde alter Meister des 14. bis 18. Jahrunderts: Nr. 1 bis 125: Mitteldeutsche Privatsammlung: Nr. 126 bis 178: aus anderem Besitz: mit 32 Tafeln-80 Abbildungen: ... Versteigerung ... den 10. Mai 1921,https://historica.unibo.it/handle/20.500.14008/94448,https://historica.unibo.it/server/iiif/022ed607-ff5b-43d1-8a09-fb69d5d7220b/manifest
BO0624_88036,"Verzeichnis der guten Ölgemälde und Aquarelle meist moderner, sowie einiger älterer Meister dabei Teile der künstlerischen Hinterlassenschaft von August Hörter, Karlsruhe und Ernst Adolf Meissner, München: Versteigerung, Dienstag den 24. September 1912 ... in Frankfurt am Main",https://historica.unibo.it/handle/20.500.14008/94130,https://historica.unibo.it/server/iiif/02438f74-3ed7-4e45-877b-22e6944dd6a7/manifest
BO0624_87689,"Katalog von Ölgemälden alter und moderner Meister aus verschiedenem Besitze: auktion in München in der Galerie Helbing ... Montag, den 25. April ... unter Leitung des Kunsthändlers Hugo Helbing in München",https://historica.unibo.it/handle/20.500.14008/93891,https://historica.unibo.it/server/iiif/0257f718-c4a6-47cd-ae3f-c35ca16d94b6/manifest
BO0624_88319,"Verzeichnis der Gemälde älterer und moderner Meister, z.T. eigene Arbeiten des Erblassers: Kunstblätter und antike Möbel, Nachlä des Herrn Anton J. C. Eymer ...: Dienstag und Mittwoch, den 4. und 5. Dezember 1917... Frankfurt a.M. ...",https://historica.unibo.it/handle/20.500.14008/94332,https://historica.unibo.it/server/iiif/02584873-2e6c-4e02-b8e8-f0ffd59f119a/manifest
BO0624_88465,"Gemälde und Handzeichnungen erster Meister unserer Zeit: dabei Werke von V. van Gogh, N. Diaz, F. Thaulow, H. Gude ... ferner der Nachlass H. Fenner-Behmer, 1. Teil: ... Versteigerung ... 22. März 1921 ... 24 Abbildungen",https://historica.unibo.it/handle/20.500.14008/94445,https://historica.unibo.it/server/iiif/03131aa9-d8cf-460b-82c5-91ed8d182118/manifest
BO0624_83706,"Catalogue des tableaux anciens et modernes ... Gouaches par Witel ... Panneaux décoratifs, dessus de portes ... provenant de la collection de M. le baron d'A... ou appartenant à divers ...: Jeudi 15 Mai 1902",https://historica.unibo.it/handle/20.500.14008/92802,https://historica.unibo.it/server/iiif/032ce186-9a29-477a-b4a8-0bb8d7ab9d0d/manifest
BO0624_84301,"Catalogue des tableaux anciens: oeuvres de C. Béga, Caravage, S. Chardin ... dessins anciens ... tableaux modernes, aquarelles et dessins ... composant la collection de M. Paul Bureau: vendredi 20 mai 1927",https://historica.unibo.it/handle/20.500.14008/93660,https://historica.unibo.it/server/iiif/035d16c9-df11-4ec5-a7d5-f9ceecf6b1f3/manifest
BO0624_81793,Catalogue de la vente des objets d'art ancien composant les collections Elie Volpi,https://historica.unibo.it/handle/20.500.14008/92761,https://historica.unibo.it/server/iiif/035dfc93-e736-4b89-90d8-c05fc0b83d1f/manifest
BO0624_87968,"Ölgemälde moderner Meister aus dem Nachlasse des verstorbenen Herrn Emanuel van Gelder, Paris sowie dem Nachlasse der verstorbenen Kunstmalers Herrn Wladimir Jettel, Wien und aus anderem Privatbesitze: Auktion in München in der Galerie Helbing, Donnerstag, den 6. Juli 1911",https://historica.unibo.it/handle/20.500.14008/94088,https://historica.unibo.it/server/iiif/039f588b-e78b-4c86-b0e7-2cfb53a01c32/manifest
BO0624_65888,Collezione Giustiniani: [Vendita all'asta nei giorni 12-13-14 dicembre 1929],https://historica.unibo.it/handle/20.500.14008/93171,https://historica.unibo.it/server/iiif/03a62a28-9c82-43ad-bbf8-c47cc752277a/manifest
